Action,ProductSKU,ProductName,Location,MinimumBeforeReorder,ReorderQuantity,Stock Locator,PickZones
Create/Update,7503013136207,123 Organic Blanco Tequila 750ml,Customer Square 1,0,1,,
Create/Update,7503013136214,123 Organic Reposado Tequila 750ml,Customer Square 1,0,1,,
Create/Update,805300030616,17/24 Metodo Classico 750ml,Customer Square 1,0,6,,
Create/Update,088004027971,1792 Bottled In Bond 750ml,Customer Square 1,0,6,,
Create/Update,080660001159,1792 Full Proof 750ml,Customer Square 1,0,6,,
Create/Update,080660001142,1792 Single Barrel 750ml,Customer Square 1,0,6,,
Create/Update,080660001203,1792 Small Batch Bourbon 750ml,Customer Square 1,0,6,,
Create/Update,811538010146,1800 Blanco 1L,Customer Square 1,0,6,,
Create/Update,850010806136,1876 Vodka 175L,Customer Square 1,1,6,,
Create/Update,850010806143,1876 Vodka 1L,Customer Square 1,1,12,,
Create/Update,859612001314,21st Amendment Blood Orange Cans 6 Pack,Customer Square 1,1,4,,
Create/Update,859612001031,21st Amendment Brew Free IPA Cans 6pk,Customer Square 1,1,4,,
Create/Update,859612001024,21st Amendment Seasonal Release Cans 6 Pack,Customer Square 1,0,4,,
Create/Update,664228300047,22 Pirates Red Blend 750ml,Customer Square 1,0,12,,
Create/Update,811538013628,400 Conejos Espadin 750ml,Customer Square 1,0,12,,
Create/Update,080480284312,42 Below 1L,Customer Square 1,0,6,,
Create/Update,852674006389,512 Citra Summer 6pk Bottles,Customer Square 1,0,6,,
Create/Update,852674006068,512 IPA 6pk Bottles,Customer Square 1,2,4,,
Create/Update,852674006150,512 Pale 6 Pack Bottles,Customer Square 1,1,4,,
Create/Update,852674006044,512 Pecan Porter 4pk Bottles,Customer Square 1,0,6,,
Create/Update,852674006143,512 Wit 6 Pack Bottles,Customer Square 1,1,4,,
Create/Update,876718036903,6 Pack Bike Carrier,Customer Square 1,0,6,,
Create/Update,089000118397,99 Apple Schnapps 50ml,Customer Square 1,17,120,,
Create/Update,080660620992,99 Bananas 50ml,Customer Square 1,24,120,,
Create/Update,088004045418,99 Cherry Limeade 50ml,Customer Square 1,0,120,,
Create/Update,088004045425,99 Chocolate 50ml,Customer Square 1,0,120,,
Create/Update,088004045456,99 Fruit Punch 50ml,Customer Square 1,0,120,,
Create/Update,088004045449,99 Guava 50ml,Customer Square 1,0,120,,
Create/Update,088004045432,99 Mystery Flavor 50ml,Customer Square 1,0,120,,
Create/Update,088004034221,99 Party Bucket 50ml,Customer Square 1,1,6,,
Create/Update,8437015853109,AUS Pet Nat 750ml,Customer Square 1,0,12,,
Create/Update,7503027709251,Abasolo Corn Whisky 50ml,Customer Square 1,0,60,,
Create/Update,7503027709077,Abasolo Corn Whisky 750ml,Customer Square 1,0,6,,
Create/Update,080480220006,Aberfeldy 12y 750ml,Customer Square 1,1,6,,
Create/Update,080480006167,Aberfeldy 16y 750ml,Customer Square 1,0,6,,
Create/Update,080480984984,Aberfeldy 18y Exceptional Cask Series 750ml,Customer Square 1,0,6,,
Create/Update,080480986032,Aberfeldy 18y Pauillac Bordeaux LE 750ml,Customer Square 1,0,6,,
Create/Update,080480985929,Aberfeldy 20y Exceptional Cask Series 750ml,Customer Square 1,0,6,,
Create/Update,080480220013,Aberfeldy 21y 750ml,Customer Square 1,0,3,,
Create/Update,080432102145,Aberlour 12y 750ml,Customer Square 1,0,6,,
Create/Update,080432102169,Aberlour 16y 750ml,Customer Square 1,0,6,,
