Category,SKU,ProductName,Location,Bin,BatchSerialNumber,ExpiryDate,Discount,StockValue,OnHand,VolumeOnHand,Available,OnOrder,InTransit,Allocated,Status,Unit,Family,StockLocator,Brand,PriceTier1,PriceTier2,PriceTier3,NextDeliveryDate
"Non Alcoholic Beverage","777823111113","1 Water 355ml","Airport","","",,"",24.1995,123.0000,0.0000,123.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",1.5000,0.9500,0.9500,
"Non Alcoholic Beverage","777823111113","1 Water 355ml","Oak Hill","","",,"",0.5357,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",1.5000,0.9500,0.9500,
"Non Alcoholic Beverage","777823111113","1 Water 355ml","Pleasant Valley","","",,"",2.5000,5.0000,0.0000,5.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",1.5000,0.9500,0.9500,
"Bar Tools","1234500000000","12/24 Mixing Tin Sets","Airport","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",22.0000,17.5000,17.5000,
"Bar Tools","1234500000000","12/24 Mixing Tin Sets","Pleasant Valley","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",22.0000,17.5000,17.5000,
"Tequila","7503013136221","123 Organic Anejo Tequila 750ml","Airport","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",59.9900,46.8500,46.8500,
"Tequila","7503013136221","123 Organic Anejo Tequila 750ml","Oak Hill","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",59.9900,46.8500,46.8500,
"Tequila","7503013136221","123 Organic Anejo Tequila 750ml","Pleasant Valley","","",,"",50.2400,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",59.9900,46.8500,46.8500,
"Tequila","7503013136221","123 Organic Anejo Tequila 750ml","Warehouse","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",59.9900,46.8500,46.8500,
"Tequila","7503013136207","123 Organic Blanco Tequila 750ml","Airport","","",,"",67.1800,2.0000,0.0000,2.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",47.9900,37.3200,37.3200,
"Tequila","7503013136207","123 Organic Blanco Tequila 750ml","Oak Hill","","",,"",33.5900,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",47.9900,37.3200,37.3200,
"Tequila","7503013136207","123 Organic Blanco Tequila 750ml","Pleasant Valley","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",47.9900,37.3200,37.3200,
"Tequila","7503013136207","123 Organic Blanco Tequila 750ml","Warehouse","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",47.9900,37.3200,37.3200,
"Tequila","7503013136214","123 Organic Reposado Tequila 750ml","Airport","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",56.9900,44.3200,44.3200,
"Tequila","7503013136214","123 Organic Reposado Tequila 750ml","Oak Hill","","",,"",39.8900,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",56.9900,44.3200,44.3200,
"Tequila","7503013136214","123 Organic Reposado Tequila 750ml","Pleasant Valley","","",,"",39.8900,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",56.9900,44.3200,44.3200,
"Tequila","7503013136214","123 Organic Reposado Tequila 750ml","Warehouse","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",56.9900,44.3200,44.3200,
"Bar Tools","1234500000001","16oz Mixing Glass","Airport","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,DEPRECATED,"Item","","","",3.0000,0.0000,0.0000,
"Bubbles","805300030616","17/24 Metodo Classico 750ml","Airport","","",,"",62.0000,2.0000,0.0000,2.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",42.9900,32.2200,32.2200,
"Bubbles","805300030616","17/24 Metodo Classico 750ml","Oak Hill","","",,"",204.0000,6.0000,0.0000,6.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",42.9900,32.2200,32.2200,
"Bubbles","805300030616","17/24 Metodo Classico 750ml","Pleasant Valley","","",,"",216.0000,6.0000,0.0000,6.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",42.9900,32.2200,32.2200,
"Whiskey Bourbon/American","088004030711","1792 12y 750ml","Airport","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",59.9900,47.2200,47.2200,
"Whiskey Bourbon/American","088004030711","1792 12y 750ml","Oak Hill","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",59.9900,47.2200,47.2200,
"Whiskey Bourbon/American","088004030711","1792 12y 750ml","Pleasant Valley","","",,"",108.0000,3.0000,0.0000,3.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",59.9900,47.2200,47.2200,
"Whiskey Bourbon/American","088004030711","1792 12y 750ml","Warehouse","","",,"",216.0000,6.0000,0.0000,6.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",59.9900,47.2200,47.2200,
"Whiskey Bourbon/American","088004027971","1792 Bottled In Bond 750ml","Airport","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",38.9900,30.9400,30.9400,
"Whiskey Bourbon/American","088004027971","1792 Bottled In Bond 750ml","Oak Hill","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",38.9900,30.9400,30.9400,
"Whiskey Bourbon/American","088004027971","1792 Bottled In Bond 750ml","Pleasant Valley","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",38.9900,30.9400,30.9400,
"Whiskey Bourbon/American","088004027971","1792 Bottled In Bond 750ml","Warehouse","","",,"",72.3300,3.0000,0.0000,3.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",38.9900,30.9400,30.9400,
"Whiskey Bourbon/American","8800588005","1792 Bottled In Bond Nickel City Barrel 750ml","Airport","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",34.9900,26.7900,26.7900,
"Whiskey Bourbon/American","8800588005","1792 Bottled In Bond Nickel City Barrel 750ml","Oak Hill","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",34.9900,26.7900,26.7900,
