ProductName,Airport,Oak Hill,Pleasant Valley,Warehouse
12/24 Mixing Tin Sets,0.0,,0.0,
16oz Mixing Glass,0.0,,,
Absinthe 4 Leg Brouilleur,0.0,,0.0,
Absinthe Brouilleur 3 Hole,2.0,3.0,1.0,
Absinthe Fountain 2 Spout,0.0,,0.0,
Absinthe Fountain 2 Spout Lady Wings,,1.0,0.0,
Absinthe Fountain 4 Spout,0.0,1.0,0.0,
Absinthe Fountain 4 Spout Lady,0.0,,0.0,
Absinthe Fountain 4 Spout Rooster,0.0,,,
Absinthe Fountain 6 Spout Lady,0.0,,0.0,
Absinthe Fountain 6 Spout Rooster,1.0,1.0,0.0,
Absinthe Fountain Glass 4 Spout,1.0,,0.0,
Absinthe Fountain Glass Double 1 Spout,0.0,1.0,1.0,
Absinthe Fountain Twisted Glass 2 Spout,0.0,1.0,0.0,
Absinthe Saucer Blue,2.0,,,
Absinthe Saucer Lavender,0.0,2.0,1.0,
Absinthe Saucer Yellow,4.0,,,
Absinthe Spoon,1.0,13.0,0.0,
Absinthe Spoon Holder,1.0,,1.0,
Austin Shaker Corkscrew,46.0,33.0,25.0,
Black and Tan Spoon,1.0,,6.0,
Budget Muddler,30.0,11.0,16.0,
Bull and China Mixing Beaker,4.0,,26.0,8.0
Champagne Stopper Black,26.0,4.0,7.0,0.0
Church Key,32.0,22.0,114.0,
Cocktail Kingdom Antique Hawthorne,0.0,1.0,0.0,
Cocktail Kingdom Atomizer 30ml,0.0,,0.0,
Cocktail Kingdom Atomizer 50ml,10.0,6.0,10.0,0.0
Cocktail Kingdom Bitters Bottle 100ml Stainless,1.0,8.0,1.0,0.0
Cocktail Kingdom Bitters Bottle 50ml,1.0,2.0,0.0,
Cocktail Kingdom Bitters Bottle Copper 100ml,0.0,,0.0,
Cocktail Kingdom Channel Knife,7.0,5.0,13.0,
Cocktail Kingdom Coco Mesh Strainer Black,6.0,7.0,8.0,
Cocktail Kingdom Coco Mesh Strainer Copper,2.0,9.0,10.0,
Cocktail Kingdom Coco Mesh Strainer Gold,1.0,4.0,2.0,0.0
Cocktail Kingdom Coco Mesh Strainer Stainless,24.0,3.0,10.0,14.0
Cocktail Kingdom Cork Dasher Top,2.0,,,
Cocktail Kingdom Dash Dart Stainless 50ml,1.0,,0.0,
Cocktail Kingdom Ice Ball Mold,10.0,6.0,18.0,
Cocktail Kingdom Ice Mallet,5.0,3.0,6.0,
Cocktail Kingdom Ice Pick,6.0,,0.0,
Cocktail Kingdom Ice Tray 1.25in,0.0,17.0,17.0,
Cocktail Kingdom Ice Tray 2.5in,0.0,8.0,0.0,
Cocktail Kingdom Ice Tray 2in,14.0,6.0,33.0,
Cocktail Kingdom Ice Tray Collins,18.0,8.0,18.0,
Cocktail Kingdom Japanese Jigger .5-.75 oz Black,4.0,3.0,0.0,
Cocktail Kingdom Japanese Jigger .5-.75 oz Copper,13.0,8.0,13.0,
Cocktail Kingdom Japanese Jigger .5-.75 oz Gold,9.0,6.0,7.0,
Cocktail Kingdom Japanese Jigger .5-.75 oz Stainless,10.0,8.0,15.0,4.0
Cocktail Kingdom Japanese Jigger 1-1.5 oz Copper,0.0,,0.0,
Cocktail Kingdom Japanese Jigger 1-1.5 oz Stainless,0.0,,1.0,
Cocktail Kingdom Japanese Jigger 1oz-2oz Black,0.0,1.0,0.0,
Cocktail Kingdom Julep Strainer Black,9.0,6.0,4.0,
Cocktail Kingdom Julep Strainer Copper,5.0,6.0,15.0,0.0
Cocktail Kingdom Julep Strainer Gold,4.0,5.0,4.0,
Cocktail Kingdom Julep Strainer Matte,5.0,8.0,4.0,
Cocktail Kingdom Julep Strainer Stainless,18.0,9.0,20.0,0.0
Cocktail Kingdom Lewis Bag,10.0,12.0,0.0,1.0
Cocktail Kingdom Mixtin Beaker 625ml,2.0,3.0,0.0,0.0
Cocktail Kingdom Navy Grog,2.0,4.0,0.0,
Cocktail Kingdom Pineapple Barspoon Copper,0.0,3.0,2.0,
Cocktail Kingdom Pineapple Barspoon Stainless,5.0,6.0,6.0,
Cocktail Kingdom Pineapple Barspoon Stainless 43.5cm,0.0,2.0,4.0,
Cocktail Kingdom Pitchfork Ice Pick,1.0,,0.0,
Cocktail Kingdom Reck Teck Strainer Stainless,10.0,,2.0,
Cocktail Kingdom Skull  Barspoon Stainless 40cm,1.0,5.0,4.0,
Cocktail Kingdom Skull Barspoon Stainless,5.0,6.0,6.0,
Cocktail Kingdom Swizzle Cup,1.0,,,
Cocktail Kingdom Swizzle Stick,6.0,5.0,5.0,
Cocktail Kingdom Teardrop Barspoon 30cm Black,1.0,3.0,3.0,
Cocktail Kingdom Teardrop Barspoon 30cm Copper,1.0,8.0,11.0,
Cocktail Kingdom Teardrop Barspoon 30cm Gold,0.0,8.0,11.0,
Cocktail Kingdom Teardrop Barspoon 30cm Stainless,2.0,11.0,4.0,
Cocktail Kingdom Teardrop Double Stirrer Copper,1.0,4.0,3.0,
Cocktail Kingdom Teardrop Double Stirrer Gold,1.0,4.0,1.0,
Cocktail Kingdom Teardrop Double Stirrer Stainless,5.0,4.0,3.0,
Cocktail Kingdom Threaded Bitters Bottle 100ml Stainless,,,0.0,
Cocktail Kingdom Trident Barspoon 30cm Stainless,0.0,,,
Copper Cocktail Picks,26.0,36.0,52.0,
Crumb Scraper,8.0,,18.0,
Flask Funnel,5.0,10.0,3.0,
Galvanized Aluminum Juicer,1.0,,0.0,
Garnish Knife,6.0,2.0,1.0,
Garnish Tongs,12.0,5.0,37.0,
Glass Salt Rimmer,0.0,,0.0,
Glass Straws,7.0,16.0,11.0,
Gold Cocktail Picks,58.0,,64.0,
Gold Tapered Pourer,0.0,,0.0,
Handblown Mixing Beaker,0.0,,0.0,
Handmade Muddler 35,0.0,0.0,0.0,
Handmade Muddler 45,0.0,,,
Handmade Muddler 55,,1.0,0.0,
Handmade Muddler 70,,0.0,1.0,
Hoffman Barspoon Stainless,0.0,4.0,0.0,
Ice Tongs,2.0,,0.0,
Kilpatrick Fine Strainer,14.0,3.0,0.0,
Koriko 2 Prong Strainer Stainless,5.0,3.0,0.0,
Koriko Large Shaker Black,3.0,13.0,9.0,
Koriko Large Shaker Copper,0.0,2.0,0.0,0.0
Koriko Large Shaker Gold,1.0,0.0,0.0,
Koriko Large Shaker Stainless,0.0,11.0,22.0,14.0
Koriko Small Shaker Black,3.0,12.0,8.0,
Koriko Small Shaker Copper,0.0,3.0,6.0,
Koriko Small Shaker Gold,0.0,0.0,0.0,
Koriko Small Shaker Stainless,0.0,11.0,1.0,0.0
Kuhn Rikon Peeler Black,16.0,9.0,18.0,
Kuhn Rikon Peeler Blue,1.0,18.0,0.0,0.0
Kuhn Rikon Peeler Green,9.0,19.0,17.0,
Kuhn Rikon Peeler Red,9.0,19.0,8.0,
