Category,SKU,ProductName,Location,Bin,BatchSerialNumber,ExpiryDate,Discount,StockValue,OnHand,VolumeOnHand,Available,OnOrder,InTransit,Allocated,Status,Unit,Family,StockLocator,Brand,PriceTier1,PriceTier2,PriceTier3,NextDeliveryDate
"Bar Tools","1234500000000","12/24 Mixing Tin Sets","Airport","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",22.0000,17.5000,17.5000,
"Bar Tools","1234500000000","12/24 Mixing Tin Sets","Pleasant Valley","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",22.0000,17.5000,17.5000,
"Bar Tools","1234500000001","16oz Mixing Glass","Airport","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,DEPRECATED,"Item","","","",3.0000,0.0000,0.0000,
"Bar Tools","12301230","Absinthe 4 Leg Brouilleur","Airport","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",29.9900,23.0000,23.0000,
"Bar Tools","12301230","Absinthe 4 Leg Brouilleur","Pleasant Valley","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",29.9900,23.0000,23.0000,
"Bar Tools","12161216","Absinthe Brouilleur 3 Hole","Airport","","",,"",14.0000,2.0000,0.0000,2.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",14.0000,11.0000,11.0000,
"Bar Tools","12161216","Absinthe Brouilleur 3 Hole","Oak Hill","","",,"",21.0000,3.0000,0.0000,3.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",14.0000,11.0000,11.0000,
"Bar Tools","12161216","Absinthe Brouilleur 3 Hole","Pleasant Valley","","",,"",7.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",14.0000,11.0000,11.0000,
"Bar Tools","13021302","Absinthe Fountain 2 Spout","Airport","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",189.9900,145.0000,145.0000,
"Bar Tools","13021302","Absinthe Fountain 2 Spout","Pleasant Valley","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",189.9900,145.0000,145.0000,
"Bar Tools","13221322","Absinthe Fountain 2 Spout Lady Wings","Oak Hill","","",,"",85.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",189.9900,145.0000,145.0000,
"Bar Tools","13221322","Absinthe Fountain 2 Spout Lady Wings","Pleasant Valley","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",189.9900,145.0000,145.0000,
"Bar Tools","13041304","Absinthe Fountain 4 Spout","Airport","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",199.9900,160.0000,160.0000,
"Bar Tools","13041304","Absinthe Fountain 4 Spout","Oak Hill","","",,"",110.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",199.9900,160.0000,160.0000,
"Bar Tools","13041304","Absinthe Fountain 4 Spout","Pleasant Valley","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",199.9900,160.0000,160.0000,
"Bar Tools","13241324","Absinthe Fountain 4 Spout Lady","Airport","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",249.9900,190.0000,190.0000,
"Bar Tools","13241324","Absinthe Fountain 4 Spout Lady","Pleasant Valley","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",249.9900,190.0000,190.0000,
"Bar Tools","1234500000004","Absinthe Fountain 4 Spout Rooster","Airport","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",229.9900,180.0000,180.0000,
"Bar Tools","1234500000005","Absinthe Fountain 6 Spout Lady","Airport","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",259.0000,200.0000,200.0000,
"Bar Tools","1234500000005","Absinthe Fountain 6 Spout Lady","Pleasant Valley","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",259.0000,200.0000,200.0000,
"Bar Tools","13061306","Absinthe Fountain 6 Spout Rooster","Airport","","",,"",130.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",259.0000,200.0000,200.0000,
"Bar Tools","13061306","Absinthe Fountain 6 Spout Rooster","Oak Hill","","",,"",130.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",259.0000,200.0000,200.0000,
"Bar Tools","13061306","Absinthe Fountain 6 Spout Rooster","Pleasant Valley","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",259.0000,200.0000,200.0000,
"Bar Tools","13741374","Absinthe Fountain Glass 4 Spout","Airport","","",,"",21.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",64.9900,55.0000,55.0000,
"Bar Tools","13741374","Absinthe Fountain Glass 4 Spout","Pleasant Valley","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Item","","","",64.9900,55.0000,55.0000,
