ProductCode,Name,Category,Brand,Type,FixedAssetType,CostingMethod,Length,Width,Height,Weight,CartonLength,CartonWidth,CartonHeight,CartonInnerQuantity,CartonQuantity,CartonVolume,WeightUnits,DimensionUnits,Barcode,MinimumBeforeReorder,ReorderQuantity,DefaultLocation,LastSuppliedBy,SupplierProductCode,SupplierProductName,SupplierFixedPrice,PriceTier1,PriceTier2,PriceTier3,PriceTier4,PriceTier5,PriceTier6,PriceTier7,PriceTier8,PriceTier9,PriceTier10,AssemblyBOM,AutoAssemble,AutoDisassemble,DropShip,DropShipSupplier,AverageCost,DefaultUnitOfMeasure,InventoryAccount,RevenueAccount,ExpenseAccount,COGSAccount,ProductAttributeSet,AdditionalAttribute1,AdditionalAttribute2,AdditionalAttribute3,AdditionalAttribute4,AdditionalAttribute5,AdditionalAttribute6,AdditionalAttribute7,AdditionalAttribute8,AdditionalAttribute9,AdditionalAttribute10,DiscountName,ProductFamilySKU,ProductFamilyName,ProductFamilyOption1Name,ProductFamilyOption1Value,ProductFamilyOption2Name,ProductFamilyOption2Value,ProductFamilyOption3Name,ProductFamilyOption3Value,CommaDelimitedTags,StockLocator,PurchaseTaxRule,SaleTaxRule,Status,Description,ShortDescription,Sellable,PickZones,AlwaysShowQuantity,WarrantySetupName,InternalNote,ProductionBOM,MakeToOrderBom,QuantityToProduce,IsAccountingDimensionEnabled,DimensionAttribute1,DimensionAttribute2,DimensionAttribute3,DimensionAttribute4,DimensionAttribute5,DimensionAttribute6,DimensionAttribute7,DimensionAttribute8,DimensionAttribute9,DimensionAttribute10
"","","Service","",Service,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"",0.0000,0.0000,Airport,,"","",0.0000000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Item,,,,,"Item Details","","","","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",Yes,,,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"777823111113","1 Water 355ml","Non Alcoholic Beverage","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,oz,in,"777823111113",0.0000,0.0000,Pleasant Valley,Restaurant Depot,"","",0.0000000,1.5000,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,No,No,No,No Drop Ship,,0.2111,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"","","","","","","","","","","","","","","","","","","","","","","No Tax","No Tax",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"1234500000000","12/24 Mixing Tin Sets","Bar Tools","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"1234500000000",0.0000,0.0000,Airport,Twelve Twenty Four,"","",11.0400000,22.0000,17.5000,17.5000,17.5000,17.5000,17.5000,17.5000,17.5000,17.5000,17.5000,No,No,No,No Drop Ship,,11.0400,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"Item Details","","","","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"7503013136221","123 Organic Anejo Tequila 750ml","Tequila","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"7503013136221",0.0000,0.0000,Airport,Favorite Brands,"","",41.2400000,59.9900,46.8500,46.8500,46.8500,46.8500,46.8500,46.8500,46.8500,46.8500,46.8500,No,No,No,No Drop Ship,,50.2400,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"Item Details","750ml","DS","","","","","","","","","","","","","","","","","","","","No Tax","No Tax",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"7503013136207","123 Organic Blanco Tequila 750ml","Tequila","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"7503013136207",0.0000,0.0000,Pleasant Valley,Favorite Brands,"","",41.2400000,47.9900,37.3200,37.3200,37.3200,37.3200,37.3200,37.3200,37.3200,37.3200,37.3200,No,No,No,No Drop Ship,,33.5900,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"Item Details","750ml","DS","","","","","","","","","","","","","","","","","","","","No Tax","No Tax",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"7503013136214","123 Organic Reposado Tequila 750ml","Tequila","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"7503013136214",0.0000,0.0000,Pleasant Valley,Favorite Brands,"","",0.0000000,56.9900,44.3200,44.3200,44.3200,44.3200,44.3200,44.3200,44.3200,44.3200,44.3200,No,No,No,No Drop Ship,,39.8900,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"Item Details","750ml","DS","","","","","","","","","","","","","","","","","","","","No Tax","No Tax",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"1234500000001","16oz Mixing Glass","Bar Tools","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"1234500000001",0.0000,0.0000,Airport,Restaurant Depot,"","",0.7100000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.7100,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"Item Details","","","","","","","","","","","","","","","","","","","","","","","",DEPRECATED,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"805300030616","17/24 Metodo Classico 750ml","Bubbles","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,oz,in,"805300030616",0.0000,0.0000,Pleasant Valley,Pangea Selections LLC,"","",0.0000000,42.9900,32.2200,32.2200,32.2200,32.2200,32.2200,32.2200,32.2200,32.2200,19.4400,No,No,No,No Drop Ship,,34.0000,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"Item Details","750ml","W","","","","","","","","","","","","","","","","","","","","No Tax","No Tax",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"088004030711","1792 12y 750ml","Whiskey Bourbon/American","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"088004030711",0.0000,0.0000,Airport,Southern Glazers Wine & Spirits,"Genesis","",37.8000000,59.9900,47.2200,47.2200,47.2200,47.2200,47.2200,47.2200,47.2200,47.2200,47.2200,No,No,No,No Drop Ship,,36.0000,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"Item Details","750ml","DS","Glazers Genesis","","","","","","","","","","","","","","","","","","","No Tax","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"088004027971","1792 Bottled In Bond 750ml","Whiskey Bourbon/American","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"088004027971",0.0000,0.0000,Airport,Southern Glazers Wine & Spirits,"Genesis","",25.9400000,38.9900,30.9400,30.9400,30.9400,30.9400,30.9400,30.9400,30.9400,30.9400,30.9400,No,No,No,No Drop Ship,,24.1100,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"Item Details","750ml","DS","Glazers Genesis","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"8800588005","1792 Bottled In Bond Nickel City Barrel 750ml","Whiskey Bourbon/American","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"8800588005",0.0000,0.0000,Pleasant Valley,Southern Glazers Wine & Spirits,"","",25.9400000,34.9900,26.7900,26.7900,26.7900,26.7900,26.7900,26.7900,26.7900,26.7900,26.7900,No,No,No,No Drop Ship,,24.1100,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"Item Details","750ml","DS","Glazers Genesis","","","","","","","","","","","","","","","","","","","No Tax","No Tax",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"8800488004","1792 Bottled In Bond Shaker Barrel F198083 750ml","Whiskey Bourbon/American","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"8800488004",0.0000,0.0000,Airport,Southern Glazers Wine & Spirits,"","",25.9400000,39.9900,30.9400,30.9400,30.9400,30.9400,30.9400,30.9400,30.9400,30.9400,30.9400,No,No,No,No Drop Ship,,24.1100,Item,_28_: Inventory,_1_: Sales,_26_: Cost of Goods Sold,_26_: Cost of Goods Sold,"Item Details","750ml","DS","Glazers Genesis","","","","","","","","","","","","","","","","","","","No Tax","No Tax",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"080660001159","1792 Full Proof 750ml","Whiskey Bourbon/American","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"080660001159",0.0000,0.0000,Airport,Southern Glazers Wine & Spirits,"Genesis","",30.9500000,45.9900,34.9500,34.9500,34.9500,34.9500,34.9500,34.9500,34.9500,34.9500,34.9500,No,No,No,No Drop Ship,,30.9500,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"Item Details","750ml","DS","Glazers Genesis","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"080660001142","1792 Single Barrel 750ml","Whiskey Bourbon/American","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"080660001142",0.0000,0.0000,Airport,Southern Glazers Wine & Spirits,"Genesis","",27.3500000,41.9900,34.9500,34.9500,34.9500,34.9500,34.9500,34.9500,34.9500,34.9500,34.9500,No,No,No,No Drop Ship,,28.7800,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"Item Details","750ml","DS","Glazers Genesis","","","","","","","","","","","","","","","","","","","No Tax","No Tax",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"088004042196","1792 Small Batch Bourbon 1L","Whiskey Bourbon/American","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"088004042196",0.0000,0.0000,Airport,Southern Glazers Wine & Spirits,"Genesis","",0.0000000,35.9900,28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,No,No,No,No Drop Ship,,24.9800,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"Item Details","1L","DS","Glazers Genesis","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
"080660001203","1792 Small Batch Bourbon 750ml","Whiskey Bourbon/American","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"080660001203",0.0000,0.0000,Airport,Southern Glazers Wine & Spirits,"Genesis","",23.9900000,36.9900,28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,28.0000,No,No,No,No Drop Ship,,20.5400,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,"Item Details","750ml","DS","Glazers Genesis","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","",""
