,Category,SKU,ProductName,Location,OnHand,Par,Shy,Send
0,Bar Tools,1234500000000,12/24 Mixing Tin Sets,Pleasant Valley,0.0,4,4.0,
1,Tequila,7503013136221,123 Organic Anejo Tequila 750ml,Warehouse,0.0,2,2.0,
2,Tequila,7503013136207,123 Organic Blanco Tequila 750ml,Airport,2.0,0,-2.0,
3,Tequila,7503013136207,123 Organic Blanco Tequila 750ml,Oak Hill,1.0,0,-1.0,
4,Tequila,7503013136207,123 Organic Blanco Tequila 750ml,Pleasant Valley,0.0,1,1.0,1.0
5,Tequila,7503013136207,123 Organic Blanco Tequila 750ml,Warehouse,0.0,2,2.0,1.0
6,Tequila,7503013136214,123 Organic Reposado Tequila 750ml,Airport,0.0,0,0.0,
7,Tequila,7503013136214,123 Organic Reposado Tequila 750ml,Oak Hill,1.0,0,-1.0,
8,Tequila,7503013136214,123 Organic Reposado Tequila 750ml,Pleasant Valley,1.0,1,0.0,
9,Tequila,7503013136214,123 Organic Reposado Tequila 750ml,Warehouse,0.0,2,2.0,1.0
10,Bubbles,805300030616,17/24 Metodo Classico 750ml,Airport,2.0,2,0.0,
11,Bubbles,805300030616,17/24 Metodo Classico 750ml,Oak Hill,6.0,2,-4.0,
12,Bubbles,805300030616,17/24 Metodo Classico 750ml,Pleasant Valley,6.0,2,-4.0,
13,Whiskey Bourbon/American,088004030711,1792 12y 750ml,Pleasant Valley,3.0,2,-1.0,
14,Whiskey Bourbon/American,088004030711,1792 12y 750ml,Warehouse,6.0,2,-4.0,
15,Whiskey Bourbon/American,088004027971,1792 Bottled In Bond 750ml,Airport,0.0,2,2.0,
16,Whiskey Bourbon/American,088004027971,1792 Bottled In Bond 750ml,Oak Hill,0.0,2,2.0,
17,Whiskey Bourbon/American,088004027971,1792 Bottled In Bond 750ml,Pleasant Valley,0.0,2,2.0,
18,Whiskey Bourbon/American,088004027971,1792 Bottled In Bond 750ml,Warehouse,3.0,2,-1.0,
19,Whiskey Bourbon/American,080660001159,1792 Full Proof 750ml,Airport,6.0,1,-5.0,
20,Whiskey Bourbon/American,080660001159,1792 Full Proof 750ml,Oak Hill,0.0,1,1.0,
21,Whiskey Bourbon/American,080660001159,1792 Full Proof 750ml,Pleasant Valley,0.0,1,1.0,
22,Whiskey Bourbon/American,080660001159,1792 Full Proof 750ml,Warehouse,6.0,1,-5.0,
