,Category,SKU,ProductName,Location,OnHand,Par,Shy,Send
0,Tequila,7503013136207,123 Organic Blanco Tequila 750ml,Airport,2.0,0,-2.0,
1,Tequila,7503013136207,123 Organic Blanco Tequila 750ml,Oak Hill,1.0,0,-1.0,
2,Tequila,7503013136207,123 Organic Blanco Tequila 750ml,Pleasant Valley,0.0,0,0.0,
3,Tequila,7503013136214,123 Organic Reposado Tequila 750ml,Airport,0.0,0,0.0,
4,Tequila,7503013136214,123 Organic Reposado Tequila 750ml,Oak Hill,1.0,0,-1.0,
5,Tequila,7503013136214,123 Organic Reposado Tequila 750ml,Pleasant Valley,1.0,0,-1.0,
6,Bubbles,805300030616,17/24 Metodo Classico 750ml,Airport,2.0,1,-1.0,
7,Bubbles,805300030616,17/24 Metodo Classico 750ml,Oak Hill,6.0,0,-6.0,
8,Bubbles,805300030616,17/24 Metodo Classico 750ml,Pleasant Valley,6.0,1,-5.0,
9,Whiskey Bourbon/American,088004030711,1792 12y 750ml,Pleasant Valley,3.0,0,-3.0,
10,Whiskey Bourbon/American,088004027971,1792 Bottled In Bond 750ml,Airport,0.0,1,1.0,
11,Whiskey Bourbon/American,088004027971,1792 Bottled In Bond 750ml,Oak Hill,0.0,1,1.0,
12,Whiskey Bourbon/American,088004027971,1792 Bottled In Bond 750ml,Pleasant Valley,0.0,2,2.0,
13,Whiskey Bourbon/American,080660001159,1792 Full Proof 750ml,Airport,6.0,1,-5.0,
14,Whiskey Bourbon/American,080660001159,1792 Full Proof 750ml,Oak Hill,0.0,1,1.0,
15,Whiskey Bourbon/American,080660001159,1792 Full Proof 750ml,Pleasant Valley,0.0,1,1.0,
16,Whiskey Bourbon/American,080660001142,1792 Single Barrel 750ml,Airport,0.0,0,0.0,
17,Whiskey Bourbon/American,080660001142,1792 Single Barrel 750ml,Oak Hill,0.0,1,1.0,
18,Whiskey Bourbon/American,080660001142,1792 Single Barrel 750ml,Pleasant Valley,0.0,1,1.0,
19,Whiskey Bourbon/American,080660001203,1792 Small Batch Bourbon 750ml,Airport,13.0,1,-12.0,
20,Whiskey Bourbon/American,080660001203,1792 Small Batch Bourbon 750ml,Oak Hill,6.0,0,-6.0,
21,Whiskey Bourbon/American,080660001203,1792 Small Batch Bourbon 750ml,Pleasant Valley,4.0,1,-3.0,
