Product,Customer,Category,Retail
,Customer Square 1,Service,50.0000
,Customer Square 2,Service,50.0000
,Customer Square 3,Service,50.0000
1 Water 355ml,Customer Square 3,Non Alcoholic Beverage,1.5000
12/24 Mixing Tin Sets,Customer Square 1,Bar Tools,22.0000
12/24 Mixing Tin Sets,Customer Square 2,Bar Tools,22.0000
12/24 Mixing Tin Sets,Customer Square 3,Bar Tools,22.0000
123 Organic Blanco Tequila 750ml,Customer Square 3,Tequila,47.9900
1792 12y 750ml,Customer Square 2,Whiskey Bourbon/American,59.9900
1792 Small Batch Bourbon 1L,Customer Square 1,Whiskey Bourbon/American,35.9900
1792 Small Batch Bourbon 1L,Customer Square 3,Whiskey Bourbon/American,35.9900
1792 Sweet Wheat 750ml,Customer Square 2,Whiskey Bourbon/American,36.9900
1792 Sweet Wheat 750ml,Customer Square 3,Whiskey Bourbon/American,36.9900
1800 Blanco 750ml,Customer Square 1,Tequila,31.9900
1800 Blanco 750ml,Customer Square 2,Tequila,31.9900
1800 Blanco 750ml,Customer Square 3,Tequila,31.9900
1876 Straight Bourbon 750ml,Customer Square 1,Whiskey Bourbon/American,36.9900
1876 Straight Bourbon 750ml,Customer Square 3,Whiskey Bourbon/American,36.9900
2 Gingers Irish Whiskey 750ml,Customer Square 1,Whiskey Irish,22.9900
2 Gingers Irish Whiskey 750ml,Customer Square 2,Whiskey Irish,22.9900
2 Gingers Irish Whiskey 750ml,Customer Square 3,Whiskey Irish,22.9900
20000 Leguas 750ml,Customer Square 3,Orange Wine,15.9900
21st Amendment Blood Orange Cans 6 Pack,Customer Square 2,Craft Beer,11.9900
21st Amendment Blood Orange Cans 6 Pack,Customer Square 3,Craft Beer,11.9900
21st Amendment Brew Free IPA Cans 6pk,Customer Square 2,Craft Beer,11.9900
21st Amendment Brew Free IPA Cans 6pk,Customer Square 3,Craft Beer,11.9900
21st Amendment Seasonal Release Cans 6 Pack,Customer Square 2,Craft Beer,11.9900
21st Amendment Seasonal Release Cans 6 Pack,Customer Square 3,Craft Beer,11.9900
21st Amendment Sparkle Cans 6 Pack,Customer Square 1,Craft Beer,11.9900
21st Amendment Sparkle Cans 6 Pack,Customer Square 2,Craft Beer,11.9900
21st Amendment Sparkle Cans 6 Pack,Customer Square 3,Craft Beer,11.9900
291 Single Barrel Rye 750ml,Customer Square 1,Whiskey Rye,89.9900
291 Single Barrel Rye 750ml,Customer Square 3,Whiskey Rye,89.9900
4 Copas Reposado 750ml,Customer Square 1,Tequila,0.0000
4 Copas Reposado 750ml,Customer Square 2,Tequila,0.0000
4 Copas Reposado 750ml,Customer Square 3,Tequila,0.0000
400 Conejos Espadin 750ml,Customer Square 3,Mezcal,28.9900
42 Below 1L,Customer Square 3,Vodka,18.9900
44 North Potato Vodka 750ml,Customer Square 1,Vodka,27.9900
44 North Potato Vodka 750ml,Customer Square 2,Vodka,27.9900
44 North Potato Vodka 750ml,Customer Square 3,Vodka,27.9900
512 Cascabel Cream Stout 4pk Bottles,Customer Square 3,Craft Beer,10.9900
512 Citra Summer 6pk Bottles,Customer Square 3,Craft Beer,9.9900
512 Double Pecan Porter 750ml,Customer Square 1,Craft Beer,17.9900
512 Double Pecan Porter 750ml,Customer Square 2,Craft Beer,17.9900
512 Double Pecan Porter 750ml,Customer Square 3,Craft Beer,17.9900
512 Seasonal 6 Pack 12oz Bottles ,Customer Square 1,Craft Beer,10.9900
512 Seasonal 6 Pack 12oz Bottles ,Customer Square 2,Craft Beer,10.9900
512 Seasonal 6 Pack 12oz Bottles ,Customer Square 3,Craft Beer,10.9900
6 O'clock Sloe Gin 750ml,Customer Square 1,Gin,34.9900
6 O'clock Sloe Gin 750ml,Customer Square 2,Gin,34.9900
6 O'clock Sloe Gin 750ml,Customer Square 3,Gin,34.9900
6 Pack Bike Carrier,Customer Square 1,Bag,10.0000
6 Pack Bike Carrier,Customer Square 3,Bag,10.0000
99 Apple Whiskey 50ml,Customer Square 1,Liqueur,0.9900
99 Apple Whiskey 50ml,Customer Square 2,Liqueur,0.9900
99 Bananas 1L,Customer Square 1,Liqueur,21.9900
99 Bananas 1L,Customer Square 2,Liqueur,21.9900
99 Bananas 1L,Customer Square 3,Liqueur,21.9900
99 Bananas 750ml,Customer Square 1,Liqueur,18.9900
99 Bananas 750ml,Customer Square 3,Liqueur,18.9900
99 Chocolate 50ml,Customer Square 1,Liqueur,0.9900
99 Fruit Punch 50ml,Customer Square 1,Liqueur,0.9900
99 Guava 50ml,Customer Square 1,Liqueur,0.9900
99 Guava 50ml,Customer Square 3,Liqueur,0.9900
99 Mystery Flavor 50ml,Customer Square 1,Liqueur,0.9900
Aberfeldy 16y 750ml,Customer Square 2,Whiskey Scotch,114.9900
Aberfeldy 16y 750ml,Customer Square 3,Whiskey Scotch,114.9900
Aberfeldy 18y Exceptional Cask Series 750ml,Customer Square 2,Whiskey Scotch,214.9900
Aberfeldy 20y Exceptional Cask Series 750ml,Customer Square 2,Whiskey Scotch,185.9900
Aberfeldy 21y 750ml,Customer Square 2,Whiskey Scotch,179.9900
Aberfeldy 21y 750ml,Customer Square 3,Whiskey Scotch,179.9900
Aberlour 12y 750ml,Customer Square 3,Whiskey Scotch,63.9900
Aberlour 16y 750ml,Customer Square 3,Whiskey Scotch,102.9900
Aberlour Abunadh 750ml,Customer Square 3,Whiskey Scotch,109.9900
Aberlour A'bunadh Alba 750ml,Customer Square 1,Whiskey Scotch,118.9900
Aberlour A'bunadh Alba 750ml,Customer Square 3,Whiskey Scotch,118.9900
Abraham Bowman Pioneer Spirit 750ml,Customer Square 1,Whiskey Bourbon/American,79.9900
Abraham Bowman Pioneer Spirit 750ml,Customer Square 2,Whiskey Bourbon/American,79.9900
Abraham Bowman Pioneer Spirit 750ml,Customer Square 3,Whiskey Bourbon/American,79.9900
Absinthe 4 Leg Brouilleur,Customer Square 1,Bar Tools,29.9900
Absinthe 4 Leg Brouilleur,Customer Square 2,Bar Tools,29.9900
Absinthe 4 Leg Brouilleur,Customer Square 3,Bar Tools,29.9900
Absinthe Brouilleur 3 Hole,Customer Square 1,Bar Tools,14.0000
Absinthe Brouilleur 3 Hole,Customer Square 3,Bar Tools,14.0000
Absinthe Fountain 2 Spout,Customer Square 1,Bar Tools,189.9900
Absinthe Fountain 2 Spout,Customer Square 3,Bar Tools,189.9900
Absinthe Fountain 2 Spout Lady Wings,Customer Square 1,Bar Tools,189.9900
Absinthe Fountain 2 Spout Lady Wings,Customer Square 2,Bar Tools,189.9900
Absinthe Fountain 2 Spout Lady Wings,Customer Square 3,Bar Tools,189.9900
Absinthe Fountain 4 Spout,Customer Square 3,Bar Tools,199.9900
Absinthe Fountain 4 Spout Lady,Customer Square 1,Bar Tools,249.9900
Absinthe Fountain 4 Spout Lady,Customer Square 2,Bar Tools,249.9900
Absinthe Fountain 4 Spout Lady,Customer Square 3,Bar Tools,249.9900
Absinthe Fountain 4 Spout Rooster,Customer Square 1,Bar Tools,229.9900
Absinthe Fountain 4 Spout Rooster,Customer Square 2,Bar Tools,229.9900
Absinthe Fountain 4 Spout Rooster,Customer Square 3,Bar Tools,229.9900
Absinthe Fountain 6 Spout Lady,Customer Square 1,Bar Tools,259.0000
Absinthe Fountain 6 Spout Lady,Customer Square 3,Bar Tools,259.0000
Absinthe Fountain 6 Spout Rooster,Customer Square 2,Bar Tools,259.0000
Absinthe Fountain 6 Spout Rooster,Customer Square 3,Bar Tools,259.0000
Absinthe Fountain Glass 4 Spout,Customer Square 3,Bar Tools,64.9900
Absinthe Fountain Glass Double 1 Spout,Customer Square 1,Bar Tools,64.9900
Absinthe Fountain Glass Double 1 Spout,Customer Square 2,Bar Tools,64.9900
Absinthe Fountain Glass Double 1 Spout,Customer Square 3,Bar Tools,64.9900
Absinthe Fountain Twisted Glass 2 Spout,Customer Square 1,Bar Tools,64.9900
Absinthe Fountain Twisted Glass 2 Spout,Customer Square 2,Bar Tools,64.9900
Absinthe Fountain Twisted Glass 2 Spout,Customer Square 3,Bar Tools,64.9900
Absinthe Glass Torsade,Customer Square 2,Glassware,12.0000
Absinthe Glass Torsade,Customer Square 3,Glassware,12.0000
Absinthe Ordinaire Liqueur 92 Proof 750ml,Customer Square 1,Absinthe,19.9900
Absinthe Ordinaire Liqueur 92 Proof 750ml,Customer Square 3,Absinthe,19.9900
Absinthe Ordinaire Reserve 129 Proof 750ml,Customer Square 1,Absinthe,39.9900
Absinthe Ordinaire Reserve 129 Proof 750ml,Customer Square 2,Absinthe,39.9900
Absinthe Ordinaire Reserve 129 Proof 750ml,Customer Square 3,Absinthe,39.9900
Absinthe Saucer Blue,Customer Square 2,Bar Tools,9.0000
Absinthe Saucer Blue,Customer Square 3,Bar Tools,9.0000
Absinthe Saucer Lavender,Customer Square 1,Bar Tools,9.0000
Absinthe Saucer Lavender,Customer Square 2,Bar Tools,9.0000
Absinthe Saucer Yellow,Customer Square 2,Bar Tools,9.0000
Absinthe Saucer Yellow,Customer Square 3,Bar Tools,9.0000
Absinthe Spoon Holder,Customer Square 1,Bar Tools,59.9900
Absinthe Spoon Holder,Customer Square 2,Bar Tools,59.9900
Absinthe Spoon Holder,Customer Square 3,Bar Tools,59.9900
Absolut Citron 1L,Customer Square 1,Vodka,29.9900
Absolut Elyx 1L,Customer Square 1,Vodka,45.9900
Absolut Elyx 1L,Customer Square 3,Vodka,45.9900
Absolut Elyx 750ml,Customer Square 2,Vodka,37.9900
Absolut Elyx 750ml,Customer Square 3,Vodka,37.9900
Absolut Juice Apple 1L,Customer Square 1,Vodka,29.9900
