Product,Customer,Category,OnHand
1 Water 355ml,Customer Square 3,Non Alcoholic Beverage,1.0000
12/24 Mixing Tin Sets,Customer Square 1,Bar Tools,0.0000
12/24 Mixing Tin Sets,Customer Square 2,Bar Tools,0.0000
123 Organic Blanco Tequila 750ml,Customer Square 3,Tequila,1.0000
1792 12y 750ml,Customer Square 2,Whiskey Bourbon/American,3.0000
1792 Small Batch Bourbon 1L,Customer Square 1,Whiskey Bourbon/American,0.0000
1792 Small Batch Bourbon 1L,Customer Square 3,Whiskey Bourbon/American,0.0000
1792 Sweet Wheat 750ml,Customer Square 3,Whiskey Bourbon/American,1.0000
1792 Sweet Wheat 750ml,Customer Square 2,Whiskey Bourbon/American,3.0000
1800 Blanco 750ml,Customer Square 1,Tequila,0.0000
1800 Blanco 750ml,Customer Square 2,Tequila,0.0000
20000 Leguas 750ml,Customer Square 3,Orange Wine,0.0000
21st Amendment Blood Orange Cans 6 Pack,Customer Square 2,Craft Beer,0.0000
21st Amendment Brew Free IPA Cans 6pk,Customer Square 2,Craft Beer,1.0000
21st Amendment Seasonal Release Cans 6 Pack,Customer Square 2,Craft Beer,0.0000
21st Amendment Sparkle Cans 6 Pack,Customer Square 1,Craft Beer,0.0000
21st Amendment Sparkle Cans 6 Pack,Customer Square 2,Craft Beer,0.0000
291 Single Barrel Rye 750ml,Customer Square 1,Whiskey Rye,0.0000
291 Single Barrel Rye 750ml,Customer Square 3,Whiskey Rye,0.0000
42 Below 1L,Customer Square 3,Vodka,0.0000
44 North Potato Vodka 750ml,Customer Square 3,Vodka,12.0000
6 O'clock Sloe Gin 750ml,Customer Square 1,Gin,0.0000
6 O'clock Sloe Gin 750ml,Customer Square 2,Gin,0.0000
6 Pack Bike Carrier,Customer Square 1,Bag,0.0000
99 Apple Whiskey 50ml,Customer Square 1,Liqueur,0.0000
99 Apple Whiskey 50ml,Customer Square 2,Liqueur,3.0000
99 Bananas 1L,Customer Square 2,Liqueur,0.0000
Aberfeldy 16y 750ml,Customer Square 3,Whiskey Scotch,2.0000
Aberfeldy 16y 750ml,Customer Square 2,Whiskey Scotch,2.0000
Aberfeldy 18y Exceptional Cask Series 750ml,Customer Square 2,Whiskey Scotch,2.0000
Aberfeldy 20y Exceptional Cask Series 750ml,Customer Square 2,Whiskey Scotch,2.0000
Aberfeldy 21y 750ml,Customer Square 1,Whiskey Scotch,0.0000
Aberfeldy 21y 750ml,Customer Square 2,Whiskey Scotch,1.0000
Aberlour 12y 750ml,Customer Square 3,Whiskey Scotch,2.0000
Aberlour 16y 750ml,Customer Square 3,Whiskey Scotch,2.0000
Aberlour Abunadh 750ml,Customer Square 3,Whiskey Scotch,3.0000
Aberlour A'bunadh Alba 750ml,Customer Square 1,Whiskey Scotch,1.0000
Aberlour A'bunadh Alba 750ml,Customer Square 3,Whiskey Scotch,2.0000
Absinthe 4 Leg Brouilleur,Customer Square 1,Bar Tools,0.0000
Absinthe 4 Leg Brouilleur,Customer Square 2,Bar Tools,0.0000
