Product,Customer,Count,Mean,Std,Min,Max,25,50,75,Action,ProductSKU,MinimumBeforeReorder,ReorderQuantity,ROUNDMEAN,ROUND75,diffmean,diff75
123 Organic Blanco Tequila 750ml,Customer Square 1,3,0.057692307692308,0.233160685634272,0,1,0,0,0,Create/Update,7503013136207,0,1,0,0,,
123 Organic Blanco Tequila 750ml,Customer Square 2,7,0.153846153846154,0.410656855847358,0,2,0,0,0,Create/Update,7503013136207,1,3,0,0,,
123 Organic Blanco Tequila 750ml,Customer Square 3,0,0,0,0,0,0,0,0,Create/Update,7503013136207,0,1,0,0,0,0
123 Organic Reposado Tequila 750ml,Customer Square 1,3,0.057692307692308,0.233160685634272,0,1,0,0,0,Create/Update,7503013136214,0,1,0,0,,
123 Organic Reposado Tequila 750ml,Customer Square 2,4,0.076923076923077,0.266469355010596,0,1,0,0,0,Create/Update,7503013136214,1,3,0,0,,
123 Organic Reposado Tequila 750ml,Customer Square 3,1,0.019230769230769,0.137335162087363,0,1,0,0,0,Create/Update,7503013136214,0,1,0,0,0,0
17/24 Metodo Classico 750ml,Customer Square 1,12,0.230769230769231,0.421325044234743,0,1,0,0,0,Create/Update,805300030616,2,6,0,0,,
17/24 Metodo Classico 750ml,Customer Square 2,12,0.307692307692308,0.636651744509494,0,3,0,0,0,Create/Update,805300030616,2,6,0,0,,
17/24 Metodo Classico 750ml,Customer Square 3,7,0.153846153846154,0.410656855847358,0,2,0,0,0,Create/Update,805300030616,2,6,0,0,2,2
1792 12y 750ml,Customer Square 2,0,0,0,0,0,0,0,0,Create/Update,88004030711,2,1,0,0,,
1792 Bottled In Bond 750ml,Customer Square 1,13,0.365384615384615,0.734554971337857,0,3,0,0,0.25,Create/Update,88004027971,2,6,0,0,,
1792 Bottled In Bond 750ml,Customer Square 2,16,0.596153846153846,1.04254893603306,0,4,0,0,1,Create/Update,88004027971,2,6,1,1,,
1792 Bottled In Bond 750ml,Customer Square 3,17,0.403846153846154,0.628172421963888,0,2,0,0,1,Create/Update,88004027971,2,6,0,1,2,1
1792 Full Proof 750ml,Customer Square 1,12,0.288461538461538,0.566247379397518,0,2,0,0,0,Create/Update,80660001159,1,6,0,0,,
1792 Full Proof 750ml,Customer Square 2,17,0.423076923076923,0.66059861681991,0,2,0,0,1,Create/Update,80660001159,1,6,0,1,,
1792 Full Proof 750ml,Customer Square 3,11,0.25,0.514220844504651,0,2,0,0,0,Create/Update,80660001159,1,6,0,0,1,1
