Action,ProductSKU,ProductName,Location,MinimumBeforeReorder,ReorderQuantity,Stock Locator,PickZones
Create/Update,7503013136207,123 Organic Blanco Tequila 750ml,Customer Square 3,0,1,,
Create/Update,7503013136214,123 Organic Reposado Tequila 750ml,Customer Square 3,0,1,,
Create/Update,088004027971,1792 Bottled In Bond 750ml,Customer Square 3,0,6,,
Create/Update,080660001159,1792 Full Proof 750ml,Customer Square 3,0,6,,
Create/Update,080660001203,1792 Small Batch Bourbon 750ml,Customer Square 3,0,6,,
Create/Update,850010806136,1876 Vodka 175L,Customer Square 3,0,6,,
Create/Update,850010806143,1876 Vodka 1L,Customer Square 3,20,12,,
Create/Update,852674006068,512 IPA 6pk Bottles,Customer Square 3,4,4,,
Create/Update,7503027709077,Abasolo Corn Whisky 750ml,Customer Square 3,9,6,,
Create/Update,080480220006,Aberfeldy 12y 750ml,Customer Square 3,4,6,,
Create/Update,080480006167,Aberfeldy 16y 750ml,Customer Square 3,0,6,,
Create/Update,080432102145,Aberlour 12y 750ml,Customer Square 3,0,6,,
Create/Update,080432114612,Aberlour A'bunadh Alba 750ml,Customer Square 3,0,6,,
Create/Update,080432516171,Aberlour Abunadh 750ml,Customer Square 3,0,6,,
Create/Update,835229000711,Absolut Elyx 750ml,Customer Square 3,0,6,,
Create/Update,835229000308,Absolut Vodka 750ml,Customer Square 3,0,12,,
Create/Update,786992212248,Admiral Rodney Formidable 750ml,Customer Square 3,0,1,,
Create/Update,786992214914,Admiral Rodney Officers Release 1 750ml,Customer Square 3,0,1,,
Create/Update,786992212101,Admiral Rodney Princessa 750ml,Customer Square 3,0,1,,
Create/Update,786992212170,Admiral Rodney Royal Oak 750ml,Customer Square 3,0,1,,
Create/Update,4969265778634,Akashi Eigashima Japanese Whisky 750ml,Customer Square 3,1,2,,
Create/Update,4969265778597,Akashi Single Malt 750ml,Customer Square 3,0,1,,
Create/Update,4969265758834,Akashi Ume 750ml,Customer Square 3,0,2,,
Create/Update,4573479360167,Akkeshi Sarorunkamuy 200ml,Customer Square 3,0,1,,
Create/Update,087229200237,Alessio Bianco 750ml,Customer Square 3,2,4,,
Create/Update,094922423139,Alessio Di Torino Vermouth 750ml,Customer Square 3,0,4,,
Create/Update,850832004017,Alias Cabernet Sauvignon 750ml,Customer Square 3,0,12,,
Create/Update,871952000369,Alipus Ensamble San Andres 750ml,Customer Square 3,0,3,,
Create/Update,871952000079,Alipus San Andres 750ml,Customer Square 3,0,6,,
Create/Update,871952000086,Alipus San Baltazar 750ml,Customer Square 3,0,6,,
Create/Update,871952000048,Alipus San Juan 750ml,Customer Square 3,0,6,,
Create/Update,871952000161,Alipus San Luis 750ml,Customer Square 3,1,6,,
Create/Update,871952000178,Alipus San Miguel 750ml,Customer Square 3,1,4,,
Create/Update,871952000154,Alipus Santa Ana Del Rio 750ml,Customer Square 3,0,6,,
Create/Update,040232521386,Alkkemist Gin 750ml,Customer Square 3,0,6,,
Create/Update,618115105024,Amargo Vallet 750ml,Customer Square 3,0,1,,
Create/Update,8018571001625,Amaro Alta Verde 750ml,Customer Square 3,0,2,,
Create/Update,089552002755,Amaro Dell Etna 1L,Customer Square 3,1,6,,
Create/Update,8057949760016,Amaro Della Sacra 750ml,Customer Square 3,0,4,,
Create/Update,075496331938,Amaro Di Angostura 750ml,Customer Square 3,1,6,,
Create/Update,634955000046,Amaro Lucano 750ml,Customer Square 3,1,6,,
Create/Update,8018571001588,Amaro Sfumato Rabarbaro 750ml,Customer Square 3,2,4,,
Create/Update,716898963944,Amaro Sibona 1L,Customer Square 3,0,2,,
Create/Update,864286000082,Amico Amaro 750ml,Customer Square 3,3,4,,
Create/Update,083664873166,Ancho Reyes 750ml,Customer Square 3,14,6,,
Create/Update,083664873685,Ancho Reyes Verde 750ml,Customer Square 3,13,6,,
Create/Update,860174000318,Andalusia Stryker Smoked Single Malt 750ml,Customer Square 3,0,6,,
Create/Update,860174000332,Andalusia Texas Single Malt 750ml,Customer Square 3,0,6,,
Create/Update,850047003003,Angels Envy Bourbon 750ml,Customer Square 3,11,6,,
Create/Update,850047003065,Angels Envy Rye 750ml,Customer Square 3,5,6,,
Create/Update,075496001602,Angostura Bitters 16oz,Customer Square 3,40,12,,
Create/Update,075496002005,Angostura Bitters 200ml,Customer Square 3,0,12,,
Create/Update,075496000407,Angostura Bitters 4oz,Customer Square 3,0,12,,
Create/Update,075496332867,Angostura Cocoa Bitters 4oz,Customer Square 3,1,12,,
Create/Update,075496331143,Angostura Orange Bitters 4oz,Customer Square 3,15,12,,
Create/Update,680144007655,Antichi Baronati Marsala Fine Sweet 750ml,Customer Square 3,0,2,,
Create/Update,864549000224,Antichi Marsala Fine Dry 750ml,Customer Square 3,2,2,,
Create/Update,721059001311,Aperol 750ml,Customer Square 3,39,6,,
Create/Update,23165013296,Apologue Persimmon 375ml,Customer Square 3,0,4,,
Create/Update,812483030012,Apostoles Gin 750ml,Customer Square 3,0,3,,
Create/Update,721059001557,Appleton Estate 12y 750ml,Customer Square 3,6,6,,
Create/Update,636191212405,Appleton Estate 15y Black River Casks 750ml,Customer Square 3,0,6,,
Create/Update,721059001090,Appleton Estate 21y 750ml,Customer Square 3,0,1,,
Create/Update,636191207401,Appleton Estate 8 Year Reserve 750ml,Customer Square 3,4,6,,
Create/Update,721059001502,Appleton Estate Signature Blend 750ml,Customer Square 3,0,12,,
Create/Update,739949800012,Arak Razzouk Anise 750ml,Customer Square 3,0,12,,
Create/Update,083300072106,Ardbeg 10y 750ml,Customer Square 3,2,6,,
Create/Update,081753829315,Ardbeg An Oa 750ml,Customer Square 3,0,6,,
Create/Update,083300072045,Ardbeg Uigeadail 750ml,Customer Square 3,0,6,,
Create/Update,081753832902,Ardbeg Wee Beastie 750ml,Customer Square 3,0,6,,
Create/Update,704228056121,Arette Artesanal Anejo 750ml,Customer Square 3,0,3,,
Create/Update,704228202009,Arette Artesanal Blanco 750ml,Customer Square 3,0,3,,
Create/Update,704228203006,Arette Artesanal Reposado 750ml,Customer Square 3,0,3,,
Create/Update,704228011212,Arette Blanco 1L,Customer Square 3,134,12,,
Create/Update,704228014213,Arette Reposado 1L,Customer Square 3,17,12,,
Create/Update,892032050005,Arran 10y 750ml,Customer Square 3,0,6,,
Create/Update,618115103068,ArteNom 1123 Blanco Historico 750ml,Customer Square 3,0,2,,
Create/Update,618115113036,ArteNom 1146 Anejo 750ml,Customer Square 3,0,2,,
Create/Update,618115103020,ArteNom 1414 Reposado 750ml,Customer Square 3,0,2,,
Create/Update,618115103051,ArteNom 1579 Blanco 750ml,Customer Square 3,0,3,,
