Product,Airport,Oak Hill,Pleasant Valley,Total
17/24 Metodo Classico 750ml,6.0,2.0,16.0,
22 Pirates Red Blend 750ml,5.0,3.0,4.0,12.0
AUS Pet Nat 750ml,1.0,2.0,17.0,20.0
Achard Vincent Clairette Brut 750ml,24.0,10.0,42.0,76.0
Agricola Morandin Lentico Pet Nat 750ml,6.0,0.0,6.0,12.0
Alias Cabernet Sauvignon 750ml,19.0,5.0,90.0,114.0
Altocedro Cabernet Sauvignon 750ml,33.0,6.0,9.0,48.0
American Recordings Chardonnay 2019 750ml,0.0,0.0,8.0,8.0
Amicone Cantine Di Ora 750ml,15.0,0.0,5.0,20.0
Ancient Peaks Merlot 750ml,6.0,4.0,8.0,18.0
Ancient Peaks Renegade 750ml,15.0,2.0,12.0,29.0
Anne Amie Cuvee Amrita 750ml,0.0,1.0,0.0,1.0
Anne Pichon Syrah Grenache 750ml,19.0,8.0,17.0,44.0
Ant Moore Sauvignon Blanc Estate 750mL,15.0,25.0,11.0,51.0
Antica Terra Botanica Pinot Noir 750ml,0.0,2.0,1.0,3.0
Arbalest Red Bordeaux 750ml,28.0,2.0,13.0,43.0
Arra ZA Cape Blend 2012 750ml,3.0,2.0,6.0,11.0
Azul y Garanza Natureleza Salvage Garnacha 750ml,6.0,2.0,4.0,12.0
Barnard Griffin Rose 750ml,12.0,4.0,5.0,21.0
Bauer Barig Orange 750ml,6.0,0.0,0.0,6.0
Better Half Sauvignon Blanc 750ml,156.0,42.0,191.0,389.0
Bico Amarelo Vinho Verde 750ml,22.0,0.0,13.0,35.0
Bikicki Pinotte Pinot Noir 750ml,12.0,8.0,24.0,44.0
Bikicki S/O Sauvignon Blanc 750ml,11.0,0.0,6.0,17.0
Bikicki Sfera Noir 750ml,12.0,0.0,6.0,18.0
Birichino Pet Nat Malvasia Bianca 750ml,0.0,0.0,4.0,4.0
Birichino Scylla Red Blend 750ml,21.0,0.0,8.0,29.0
Black River Malbec 750ml,12.0,4.0,40.0,56.0
Blanville Rose 750ml,11.0,1.0,9.0,21.0
Blushing Bear Rose 750ml,8.0,0.0,11.0,19.0
Bonny Doon La Cigare Volant Cuvee Oumuamua 750ml,16.0,3.0,9.0,28.0
Boomtown Merlot 750ml,10.0,4.0,4.0,18.0
Bota Box Cabernet Sauvignon 3L,5.0,0.0,5.0,10.0
Bota Box Pinot Grigio 3L,11.0,0.0,5.0,16.0
Bouillon Aux Dames Chenin 750mL,18.0,0.0,5.0,23.0
Bourgogne Aligote Les Plumes 750ml,15.0,4.0,5.0,24.0
Broc Cellars Love Red 750mL,2.0,1.0,4.0,7.0
Broc Cellars Nouveau 2021 750mL,1.0,0.0,4.0,5.0
Cambridge Road Syrah 750ml,1.0,1.0,5.0,7.0
Campo Viejo Tempranillo 750ml,0.0,0.0,23.0,23.0
Cantine Valpane Rosa Ruske 750ml,0.0,2.0,3.0,5.0
Carpene Malvolti Prosecco 187ml,0.0,10.0,8.0,18.0
Carrascal Corte Clasico 750ml,0.0,1.0,2.0,3.0
Carro Tinto 750ml,11.0,53.0,18.0,82.0
Cazenove Bordeaux 750ml,0.0,1.0,0.0,1.0
Chandon Brut 375ml,1.0,0.0,0.0,1.0
Chandon Brut 750ml,2.0,0.0,20.0,22.0
Chandon Garden Spritz 187ml,33.0,6.0,14.0,53.0
Chandon Garden Spritz 750ml,17.0,5.0,24.0,46.0
Chanteleuserie Bourgueil Cab Franc 750ml,29.0,6.0,20.0,55.0
Charly Nicolle Chablis Per Aspera 750ml,12.0,3.0,10.0,25.0
Chasing Lions Cabernet Sauvignon 750ml,42.0,14.0,58.0,114.0
Chateau Gravas Sauternes 375ml,0.0,1.0,3.0,4.0
Chateau Vannieres Cotes De Provence Rose 750ml,7.0,1.0,12.0,20.0
Chevalier Chardonnay 750ml,7.0,13.0,8.0,28.0
Chono Red Blend 750ml,18.0,3.0,9.0,30.0
Cinzano Prosecco 750ml,13.0,0.0,61.0,74.0
Clovis Cotes du Rhone 750ml,14.0,1.0,14.0,29.0
Commuter Cuvee Pinot Noir 750ml,46.0,21.0,57.0,124.0
Corzano e Paterno Chianti 750ml,17.0,1.0,25.0,43.0
Cot Boy 750ml,29.0,7.0,17.0,53.0
Cote de Brouilly Cuvee 750ml,0.0,2.0,0.0,2.0
Crazy Creatures 750mL,29.0,1.0,27.0,57.0
Cuvee 23 Cava 750mL,32.0,0.0,17.0,49.0
De Iuliis Shiraz 750ml,15.0,0.0,2.0,17.0
De Muller Priorat Crianza 750ml,0.0,1.0,3.0,4.0
De Otro Planeta Sauvignon Gris 750ml,6.0,0.0,8.0,14.0
Delamotte 750ml,0.0,0.0,6.0,6.0
Deux Moulins Rose 750ml,10.0,1.0,1.0,12.0
DilaO Dry Amber Wine 750ml,12.0,1.0,13.0,26.0
Dom Perignon Vintage 2010 750ml,0.0,0.0,5.0,5.0
Dom de l'ecu Classic Muscadet 750ml,0.0,2.0,21.0,23.0
Domaine Bulliat Bouquet Final Rose 750ml,0.0,0.0,2.0,2.0
Domaine De Mourchon Loubie Rose 750ml,12.0,5.0,7.0,24.0
Domaine La Coche Sauvignon Blanc 750ml,0.0,0.0,24.0,24.0
Domus Picta Treviso Prosecco 750ml,30.0,33.0,0.0,63.0
Donkey & Goat Gadabout 750ml,12.0,1.0,5.0,18.0
Donkey & Goat The Gallivanter,22.0,0.0,8.0,30.0
Douro Twisted Tinto 2016 750ml,14.0,6.0,15.0,35.0
Echeverria Propuesta Cab Sauv 750ml,5.0,5.0,13.0,23.0
El Jefe Tempranillo 1L,145.0,23.0,69.0,237.0
Elisa Guerin Beaujolais Villages 750ml,12.0,7.0,2.0,21.0
Enoz La Monade Fiano 750ml,16.0,0.0,10.0,26.0
Epoch Estate Blend 750ml,4.0,0.0,2.0,6.0
Ercole Barbera del Monferatto DOC 1L,6.0,3.0,2.0,11.0
Ercole Monferatto DOC Bianco 1L,20.0,2.0,3.0,25.0
Esporao Alandra Red BIB 3L,2.0,0.0,0.0,2.0
Esporao Alandra White 750ml,0.0,0.0,2.0,2.0
Esporao Alandra White BIB 3L,6.0,0.0,0.0,6.0
Esporao Monte Velho Red Blend 750ml,2.0,5.0,9.0,16.0
Esporao Monte Velho White 750ml,8.0,0.0,5.0,13.0
Faire La Fete Brut 750ml,25.0,0.0,96.0,121.0
Far Niente Chardonnay 750ml,0.0,0.0,1.0,1.0
Fattoria Moretto Lambrusco Monovitigno 750ml,4.0,0.0,6.0,10.0
Fausse Piste Fish Sauce 750ml,0.0,0.0,6.0,6.0
Field Recordings Chenin 750ml,0.0,19.0,16.0,35.0
Field Recordings Domo Arigato 750ml,18.0,1.0,30.0,49.0
Field Recordings Dry Hopped Pet Nat 750ml,14.0,0.0,3.0,17.0
Field Recordings Fiction 750ml,45.0,7.0,27.0,79.0
Field Recordings Fiction Rose 750ml,24.0,0.0,8.0,32.0
Field Recordings Fiction White 750ml,20.0,3.0,5.0,28.0
Field Recordings Franc 750ml,58.0,5.0,0.0,63.0
Field Recordings Freddo 750ml,18.0,2.0,40.0,60.0
Field Recordings Neverland 2017 750ml,25.0,21.0,49.0,95.0
Field Recordings PPP Sparkling Red 750ml,54.0,0.0,44.0,98.0
Field Recordings Pet Nat Rose 750ml,22.0,1.0,12.0,35.0
Field Recordings Pets 750ml,33.0,5.0,34.0,72.0
Field Recordings Skins 750ml,36.0,4.0,26.0,66.0
Figuiere Saint Andre Rose 750ml,12.0,6.0,7.0,25.0
Flaco Tempranillo 750ml,25.0,0.0,13.0,38.0
Foxglove Cabernet Sauvignon 750ml,48.0,10.0,93.0,151.0
Friend and Farmer White Blend 750ml,13.0,4.0,16.0,33.0
Gayda Viognier 750ml,8.0,15.0,8.0,31.0
Givaudan La Bete Cote du Rhone 750ml,17.0,2.0,8.0,27.0
Glinavos Paleokerisio Orange Wine 500ml,26.0,5.0,38.0,69.0
Graham Beck Brut Rose 750ml,18.0,10.0,26.0,54.0
Granbazan Albarino 750ml,15.0,2.0,1.0,18.0
Granbazan Albarino Ambar 750ml,0.0,0.0,2.0,2.0
Gravel Bar Cabernet Sauvignon 750ml,33.0,24.0,25.0,82.0
Grignolino d'Asti 750ml,10.0,1.0,6.0,17.0
Gros Nore Bandol Rose 750ml,7.0,0.0,3.0,10.0
Grosjean Gamay 750ml,0.0,2.0,0.0,2.0
Grrrr Gruner Veltliner 1L,34.0,0.0,21.0,55.0
Guido Porro Barbera d'Alba 750ml,19.0,4.0,13.0,36.0
Guido Porro Barolo Lazzairasco 2014 750ml,6.0,0.0,3.0,9.0
Gulp Hablo Garnacha 1L,39.0,1.0,17.0,57.0
Gulp Hablo Verdejo 1L,25.0,0.0,10.0,35.0
Gunther Steinmetz Pinot Noir 750ml,22.0,9.0,35.0,66.0
H Bourgeois LCdMD Sancerre Blanc 750mL,0.0,0.0,2.0,2.0
Haraszthy Bearitage Red Blend 750ml,0.0,1.0,0.0,1.0
Haraszthy Lodi Zinfandel 750ml,19.0,26.0,12.0,57.0
Hedges CMS Red Blend 750ml,13.0,4.0,48.0,65.0
Houchart Cotes De Provence Rose 750ml,0.0,2.0,0.0,2.0
Hubert Meyer Cremant Brut 750ml,36.0,12.0,41.0,89.0
Hubert Meyer Cremant Rose 750ml,45.0,10.0,14.0,69.0
Husch Vineyards Chenin Blanc 750ml,0.0,2.0,5.0,7.0
Il Folicello Bianco Pet Nat 750ml,0.0,0.0,15.0,15.0
Il Vescovado Chianti 750ml,27.0,13.0,11.0,51.0
Jean Royer Chateauneuf Du Pape Tradition 2017 750ml,8.0,1.0,4.0,13.0
Jigsaw Pinot Noir 750ml,51.0,7.0,10.0,68.0
Joan d'Anguera Altaroses Grenache 750ml,12.0,0.0,2.0,14.0
Jolie Folle Rose 1L,25.0,1.0,19.0,45.0
Jolie Folle Sauvignon Blanc 1L,24.0,1.0,37.0,62.0
Jose Dhondt Brut BdB 750ml,24.0,4.0,26.0,54.0
Kirnbauer 7301 Blaufrankisch 750ml,8.0,1.0,2.0,11.0
Knuttel Family RR Chardonnay 750mL,3.0,5.0,8.0,16.0
La Madrid Malbec 750ml,45.0,14.0,37.0,96.0
La Maldicion Tinto 750ml,0.0,0.0,9.0,9.0
La Marca Prosecco 750ml,37.0,3.0,28.0,68.0
La Nevera Red BIB 3L,0.0,1.0,0.0,1.0
La Nevera Rose BIB 3L,4.0,0.0,3.0,7.0
La Piuma Pecorino 750ml,38.0,7.0,14.0,59.0
La Raimbauderie Sancerre 750ml,15.0,0.0,31.0,46.0
La Raimbauderie Sancerre Rose 750mL,12.0,1.0,8.0,21.0
La Source Rose 750ml,4.0,0.0,21.0,25.0
Laherte Frères Champagne 750ml,0.0,1.0,0.0,1.0
Lan Reserva Rioja 750ml,12.0,4.0,6.0,22.0
Lan Rioja Crianza 750ml,27.0,12.0,32.0,71.0
Lan Rioja Gran Reserva 2008 750ml,12.0,0.0,0.0,12.0
Lapis Luna Red Blend 750ml,55.0,9.0,47.0,111.0
Lapis Luna Zinfandel  750ml,25.0,10.0,25.0,60.0
Lardy Beaujolais Blanc 750ml,14.0,2.0,8.0,24.0
Lardy Cru Fleurie Vigneron 750ml,0.0,1.0,0.0,1.0
Lardy Moulin a Vent 2015 750ml,0.0,1.0,0.0,1.0
Laughing Pig Rose 750ml,0.0,0.0,6.0,6.0
Le Quai A Raisins Embruns 750ml,4.0,0.0,0.0,4.0
Le Quai A Raisins Syrah Cinsault 750ml,6.0,0.0,1.0,7.0
Leduc Frouin Anjou Blanc 750ml,0.0,0.0,1.0,1.0
Leduc Frouin Anjou Cab Franc 750ml,15.0,1.0,4.0,20.0
Left Coast Cellars White Pinot Noir 750ml,22.0,3.0,9.0,34.0
Les Lunes Astral 750ml,0.0,1.0,0.0,1.0
Les Lunes Cosmic Blend 750ml,0.0,0.0,8.0,8.0
Les Lunes Texian 2.0 Red Blend 750ml,0.0,1.0,27.0,28.0
Les Lunes Texian Red Blend 750ml,2.0,0.0,15.0,17.0
Liger Belair Bourgogne 750ml,0.0,0.0,12.0,12.0
Logan Farrell Cabernet Sauvignon 750ml,0.0,2.0,0.0,2.0
Lopez De Heredia Vina Bosconia 750ml,3.0,2.0,5.0,10.0
Louis Perdrier Brut Excellence 750ml,44.0,0.0,17.0,61.0
Louis Roederer Cristal Brut 750ml,1.0,0.0,1.0,2.0
Love And Grapes Nobis Syrah 750ml,12.0,2.0,0.0,14.0
Ludovic Engelvin Rouge 750ml,4.0,0.0,1.0,5.0
Lunaria Coste di Moro Montepulciano 750ml,86.0,7.0,19.0,112.0
Lunaria Montepulciano BIB,10.0,2.0,1.0,13.0
Lunaria Pinot Grigio Pet Nat 750ml,35.0,6.0,42.0,83.0
Lunaria Ramoro Pinot Grigio Terre di Chieti 750mL,33.0,5.0,16.0,54.0
Lunaria Ruminat Primitivo 750ml,49.0,1.0,25.0,75.0
Madfish Cabernet Sauvignon 750ml,0.0,5.0,6.0,11.0
Majas Rose 750ml,3.0,1.0,10.0,14.0
Manzone Langhe Nebbiolo 750ml,20.0,1.0,12.0,33.0
Marietta Game Trail Cabernet 750ml,7.0,7.0,11.0,25.0
Marietta Old Vine Red 750ml,20.0,8.0,42.0,70.0
Marula Baconnelle 750ml,4.0,1.0,5.0,10.0
Mas Theo P'tit Gaby 750ml,35.0,2.0,16.0,53.0
Masso Antico Fiano Appassito,0.0,3.0,0.0,3.0
Masso Antico Primitivo 750ml,30.0,5.0,15.0,50.0
MastroJanni Brunello di Montalcino 750mL,3.0,0.0,2.0,5.0
Matthiasson Cabernet Sauvignon 750ml,2.0,4.0,3.0,9.0
Maturana Wines Naranjo 750ml,20.0,1.0,15.0,36.0
Medivol Cremant De Limoux 750ml,18.0,5.0,30.0,53.0
Medrano Malbec 750ml,0.0,9.0,1.0,10.0
Mirth Chardonnay 750ml,22.0,19.0,22.0,63.0
Moet Imperial 750ml,0.0,0.0,6.0,6.0
Monopole Rioja 750ml,12.0,16.0,9.0,37.0
Montand Blanc de Blancs 750ml,2.0,0.0,6.0,8.0
Montenigo Bianco 750ml,6.0,3.0,4.0,13.0
Moonland Fruit Wine 750ml,28.0,1.0,30.0,59.0
Morra Barbera d'Alba 750ml,14.0,2.0,14.0,30.0
Mumm Napa Brut Prestige 750ml,34.0,5.0,28.0,67.0
Naveran Brut Rosado 750ml,19.0,7.0,24.0,50.0
Naveran Brut Vintage 750ml,24.0,37.0,30.0,91.0
No Curfew Pinot Noir 750ml,38.0,5.0,21.0,64.0
Notterosa Sparkling Rose 750ml,16.0,5.0,22.0,43.0
Occhipinti SP68 Red Blend 750ml,0.0,2.0,0.0,2.0
Occhipinti SP68 White Blend 750ml,0.0,1.0,1.0,2.0
Olema Chardonnay 750ml,15.0,21.0,18.0,54.0
Open Face Gewurztraminer 750ml,6.0,0.0,8.0,14.0
Opera Prima Brut 750ml,2.0,6.0,1.0,9.0
Ovum Big Salt 750ml,0.0,1.0,2.0,3.0
Ovum Old Love 750ml,6.0,0.0,0.0,6.0
Parducci True Grit Red Blend 750ml,0.0,29.0,0.0,29.0
Parts & Labor Red Blend 750ml,11.0,1.0,7.0,19.0
Paul Cluver Sauvignon Blanc 750ml,17.0,9.0,20.0,46.0
Perrier-Jouet Belle Epoque 2012 Brut 750ml,1.0,1.0,3.0,5.0
Perrier-Jouet Grand Brut 750ml,11.0,9.0,27.0,47.0
Peter Franus Zinfandel 750ml,0.0,1.0,0.0,1.0
Pierre Riffault Sancerre 750ml,29.0,4.0,14.0,47.0
Pierre et Papa French Red 750ml,9.0,2.0,9.0,20.0
Pierre et Papa White 750ml,8.0,15.0,18.0,41.0
Pierres Blances Pinot Noir 750ml,0.0,0.0,24.0,24.0
Pinol Portal 750ml,2.0,1.0,0.0,3.0
Poderi Cellario 750ml,3.0,0.0,5.0,8.0
Poggio Anima Nero D'Avola 750ml,26.0,3.0,14.0,43.0
Poggio Anima Samael Montepulciano 750ml,38.0,13.0,29.0,80.0
Polvanera Primitivo 2016 750m,0.0,0.0,2.0,2.0
Polvanera Verdeca Puglia 750ml,1.0,0.0,0.0,1.0
Portlandia Pinot Gris 750ml,34.0,1.0,5.0,40.0
Prunotto Langhe Arneis 750ml,0.0,0.0,6.0,6.0
Quadrum Red Blend Box 3L,6.0,4.0,4.0,14.0
Quadrum Rose Box 3L,10.0,0.0,5.0,15.0
