,Category,SKU,ProductName,Location,OnHand,Par,Shy,Send
493,Bag,86718029783,Austin Shaker 4 Bottle Tote bag,Oak Hill,191,0,-191,
1152,Non Alcoholic Beverage,022592007014,Bottled Water,Oak Hill,67,0,-67,
3671,Glassware,125678,Glencairn Glass,Oak Hill,66,0,-66,
3656,Bag,1234500000089,Gift Bags,Oak Hill,66,1,-65,
4575,Tequila,811538010924,Jose Cuervo Gold 200ml,Oak Hill,47,0,-47,
7738,Vodka,088004000066,Taaka 200ml,Oak Hill,45,0,-45,
141,Garnish,1234500000011,Absinthe Sugar Cubes (2pack),Oak Hill,43,0,-43,
6190,Non Alcoholic Beverage,031200204530,Ocean Spray Orange Juice 5.5oz,Oak Hill,39,0,-39,
4652,Whiskey Bourbon/American,096749312504,Kentucky Deluxe 200ml,Oak Hill,39,0,-39,
4902,Tequila,859026001221,La Gritona Reposado 750ml,Oak Hill,38,2,-36,
2190,Bar Tools,123553,Copper Cocktail Picks,Oak Hill,36,0,-36,
3284,Non Alcoholic Beverage,812136030277,Fever Tree Pink Grapefruit 4 Pack,Oak Hill,36,1,-35,
4899,Tequila,859026001405,La Gritona Reposado 375ml,Oak Hill,35,1,-34,
2648,Rose,854185000962,Domaine De Mourchon Loubie Rose 750ml,Oak Hill,34,0,-34,
2267,Whiskey Canadian,087000007277,Crown Royal 200ml,Oak Hill,33,1,-32,
1635,Bubbles,0085155273837,Chandon Garden Spritz 750ml,Oak Hill,31,0,-31,
496,Bar Tools,123518,Austin Shaker Corkscrew,Oak Hill,31,0,-31,
8232,Bar Tools,1234500000245,Vacu Vin Wine Stopper,Oak Hill,31,0,-31,
1072,Non Alcoholic Beverage,053500003675,Bluebird White Grapefruit 5.5oz,Oak Hill,30,0,-30,
4702,Sake,072546039615,Kikusui Funaguchi 200ml,Oak Hill,30,1,-29,
337,Bitters,075496331143,Angostura Orange Bitters 4oz,Oak Hill,27,1,-26,
7713,Non Alcoholic Beverage,860002024707,Sweet Crude Mellow Mule 8.45oz,Oak Hill,26,1,-25,
8006,White,761503723994,Tintero Bianco 750ml,Oak Hill,25,0,-25,
7543,RTD,040232227998,St Agrestis Negroni Single 100ml,Oak Hill,26,1,-25,
7221,Tequila,080686835066,Sauza Hornitos Reposado 200ml,Oak Hill,24,0,-24,
2962,Red Old World,8414318902093,El Jefe Tempranillo 1L,Oak Hill,25,1,-24,
6021,Gin,085000014325,New Amsterdam Gin 375ml,Oak Hill,24,1,-23,
6419,Tequila,721733000944,Patron Silver 375ml,Oak Hill,24,1,-23,
5915,Vodka,086208390778,Monopolowa Vodka 750ml,Oak Hill,24,1,-23,
1706,Bar Tools,123471,Church Key,Oak Hill,22,0,-22,
4430,Whiskey Irish,080432500125,Jameson 200ml,Oak Hill,23,1,-22,
8195,Amaro,788754001008,Underberg,Oak Hill,22,0,-22,
4662,Whiskey Bourbon/American,080660246383,Kentucky Gentleman 200ml,Oak Hill,21,0,-21,
6360,Bar Tools,123570,OXO Mini Hawthorne Strainer,Oak Hill,21,0,-21,
7635,Bar Tools,1234500000234,Stainless Tapered Pourer,Oak Hill,21,0,-21,
8383,Bar Tools,123631,Viski Teardrop Barspoon 40cm Stainless,Oak Hill,20,0,-20,
6456,Brandy,021296620017,Paul Masson Peach Brandy 375ml,Oak Hill,20,0,-20,
3105,Whiskey Bourbon/American,096749021642,Evan Williams Black 375ml,Oak Hill,21,1,-20,
