,ProductCode,Name,Category,Type,Barcode,MinimumBeforeReorder,ReorderQuantity,DefaultLocation,LastSuppliedBy,SupplierProductCode,SupplierFixedPrice,PriceTier1,PriceTier2,PriceTier3,PriceTier4,PriceTier5,PriceTier6,PriceTier7,PriceTier8,PriceTier9,PriceTier10,AverageCost,DefaultUnitOfMeasure,InventoryAccount,RevenueAccount,ExpenseAccount,COGSAccount,ProductAttributeSet,AdditionalAttribute1,AdditionalAttribute2,AdditionalAttribute3,AdditionalAttribute4,PurchaseTaxRule,SaleTaxRule,Status,Description,ShortDescription,Sellable,AlwaysShowQuantity,InternalNote
0,,,Service,Service,,0.0,0.0,Airport,,,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Item,,,,,Item Details,,,,,,,ACTIVE,,,Yes,,
1,777823111113,1 Water 355ml,Non Alcoholic Beverage,Stock,777823111113,0.0,0.0,Pleasant Valley,Restaurant Depot,,0.0,1.5,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.2161,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
3,1234500000000,12/24 Mixing Tin Sets,Bar Tools,Stock,1234500000000,0.0,0.0,Airport,Twelve Twenty Four,,11.04,22.0,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,11.04,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,,,ACTIVE,,,Yes,0.0,
27,857438001525,1888 Dirtiest Martini Mix 1L,Mixer,Stock,857438001525,0.0,0.0,Airport,Southern Glazers Wine & Spirits,Premier,0.0,15.99,11.94,11.94,11.94,11.94,11.94,11.94,11.94,11.94,11.94,15.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,1L,,Glazers Premier,,,,ACTIVE,,,Yes,0.0,
28,080686294047,2 Gingers Irish Whiskey 750ml,Whiskey Irish,Stock,080686294047,0.0,0.0,Airport,Southern Glazers Wine & Spirits,Premier,0.0,22.99,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,12.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,750ml,DS,Glazers Premier,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
43,080480284312,42 Below 1L,Vodka,Stock,080480284312,0.0,0.0,Airport,Southern Glazers Wine & Spirits,Transatlantic,9.25,29.99,17.41,17.41,17.41,17.41,17.41,17.41,17.41,17.41,17.41,15.7,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,1L,DS,Glazers Transatlantic,,,,ACTIVE,,,Yes,0.0,
50,852674006013,512 Double Pecan Porter 750ml,Craft Beer,Stock,852674006013,0.0,0.0,Pleasant Valley,512 Brewing Company,,12.0,17.99,14.12,14.12,14.12,0.0,0.0,0.0,0.0,0.0,0.0,7.65,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,750ml,B,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
63,876718036903,6 Pack Bike Carrier,Bag,Stock,876718036903,0.0,0.0,Airport,True Fabrications,,4.72,10.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.72,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,,,ACTIVE,,,Yes,0.0,
67,080660620992,99 Bananas 50ml,Liqueur,Stock,080660620992,0.0,0.0,Airport,Southern Glazers Wine & Spirits,Genesis,0.58,0.99,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5258,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,50ml,DS,Glazers Genesis,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
70,088004045425,99 Chocolate 50ml,Liqueur,Stock,088004045425,0.0,0.0,Airport,Southern Glazers Wine & Spirits,Genesis,0.0,0.99,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,50ml,DS,Glazers Genesis,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
72,088004045449,99 Guava 50ml,Liqueur,Stock,088004045449,0.0,0.0,Airport,Southern Glazers Wine & Spirits,Genesis,0.0,0.99,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,50ml,DS,Glazers Genesis,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
73,088004045432,99 Mystery Flavor 50ml,Liqueur,Stock,088004045432,0.0,0.0,Airport,Southern Glazers Wine & Spirits,Genesis,0.0,0.99,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,50ml,DS,Glazers Genesis,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
89,12301230,Absinthe 4 Leg Brouilleur,Bar Tools,Stock,12301230,0.0,0.0,Airport,Bonnecaze,,14.0,29.99,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,14.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
90,12161216,Absinthe Brouilleur 3 Hole,Bar Tools,Stock,12161216,0.0,0.0,Airport,Bonnecaze,,0.0,14.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,7.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
91,13021302,Absinthe Fountain 2 Spout,Bar Tools,Stock,13021302,0.0,0.0,Airport,Bonnecaze,,95.0,189.99,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,85.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
92,13221322,Absinthe Fountain 2 Spout Lady Wings,Bar Tools,Stock,13221322,0.0,0.0,Airport,Bonnecaze,,95.0,189.99,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,85.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
94,13241324,Absinthe Fountain 4 Spout Lady,Bar Tools,Stock,13241324,0.0,0.0,Airport,Bonnecaze,,120.0,249.99,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,120.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,,,ACTIVE,,,Yes,0.0,
95,1234500000004,Absinthe Fountain 4 Spout Rooster,Bar Tools,Stock,1234500000004,0.0,0.0,Airport,Bonnecaze,,120.0,229.99,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,120.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,,,ACTIVE,,,Yes,0.0,
96,1234500000005,Absinthe Fountain 6 Spout Lady,Bar Tools,Stock,1234500000005,0.0,0.0,Airport,Bonnecaze,,130.0,259.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,130.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
97,13061306,Absinthe Fountain 6 Spout Rooster,Bar Tools,Stock,13061306,0.0,0.0,Airport,Bonnecaze,,130.0,259.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,130.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
98,13741374,Absinthe Fountain Glass 4 Spout,Bar Tools,Stock,13741374,0.0,0.0,Airport,Bonnecaze,,28.0,64.99,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,21.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
99,13811381,Absinthe Fountain Glass Double 1 Spout,Bar Tools,Stock,13811381,0.0,0.0,Airport,Bonnecaze,,0.0,64.99,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,32.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
100,13761376,Absinthe Fountain Twisted Glass 2 Spout,Bar Tools,Stock,13761376,0.0,0.0,Airport,Bonnecaze,,30.0,64.99,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,30.0,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
102,14601445,Absinthe Glass Cordon,Glassware,Stock,14601445,0.0,0.0,Airport,Bonnecaze,,0.0,14.0,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,6.5,Item,_28_: Inventory,_1_: Sales,,_26_: Cost of Goods Sold,Item Details,,,,,No Tax,No Tax,ACTIVE,,,Yes,0.0,
