Action,ProductSKU,ProductName,Location,MinimumBeforeReorder,ReorderQuantity,StockLocator,PickZones
Create/Update,086785024684,Drumshanbo Irish Gin 375ml,Oak Hill,1.0000,12.0000,,
Create/Update,086785024684,Drumshanbo Irish Gin 375ml,Pleasant Valley,4.0000,12.0000,,
Create/Update,086785024684,Drumshanbo Irish Gin 375ml,Airport,1.0000,12.0000,,
Create/Update,00850030152466,DEHY Grapefruit Jar,Pleasant Valley,2.0000,12.0000,,
Create/Update,00850030152466,DEHY Grapefruit Jar,Oak Hill,2.0000,12.0000,,
Create/Update,00850030152466,DEHY Grapefruit Jar,Airport,2.0000,12.0000,,
Create/Update,786992000609,Chairmans Spiced Rum 750ml,Oak Hill,2.0000,4.0000,,
Create/Update,786992000609,Chairmans Spiced Rum 750ml,Airport,2.0000,4.0000,,
Create/Update,786992000609,Chairmans Spiced Rum 750ml,Pleasant Valley,4.0000,6.0000,,
Create/Update,786992000609,Chairmans Spiced Rum 750ml,Warehouse,4.0000,6.0000,,
Create/Update,850995005753,Jeppsons Malort Liqueur 50ml,Pleasant Valley,24.0000,120.0000,,
Create/Update,850995005753,Jeppsons Malort Liqueur 50ml,Oak Hill,6.0000,120.0000,,
Create/Update,850995005753,Jeppsons Malort Liqueur 50ml,Airport,24.0000,120.0000,,
Create/Update,698450767460,Jalisco Orange 750ml,Warehouse,24.0000,6.0000,,
Create/Update,698450767460,Jalisco Orange 750ml,Pleasant Valley,4.0000,6.0000,,
Create/Update,698450767460,Jalisco Orange 750ml,Oak Hill,1.0000,6.0000,,
Create/Update,698450767460,Jalisco Orange 750ml,Airport,3.0000,6.0000,,
Create/Update,812136030277,Fever Tree Pink Grapefruit 4 Pack,Pleasant Valley,30.0000,12.0000,,
Create/Update,812136030277,Fever Tree Pink Grapefruit 4 Pack,Airport,6.0000,6.0000,,
Create/Update,812136030277,Fever Tree Pink Grapefruit 4 Pack,Warehouse,30.0000,12.0000,,
Create/Update,812136030277,Fever Tree Pink Grapefruit 4 Pack,Oak Hill,3.0000,6.0000,,
Create/Update,7868575,Big Red Can 12oz,Airport,12.0000,24.0000,,
Create/Update,857361007144,Kentucky Owl 10yr Rye Wiseman 750ml,Warehouse,1.0000,6.0000,,
Create/Update,857361007144,Kentucky Owl 10yr Rye Wiseman 750ml,Pleasant Valley,0.0000,6.0000,,
