Token,Item Name,Variation Name,SKU,Description,Category,Price,Option Name 1,Option Value 1,Enabled 1,Current Quantity 1,New Quantity 1,Stock Alert Enabled 1,Stock Alert Count 1,Price 1,Enabled 2,Current Quantity 2,New Quantity 2,Stock Alert Enabled 2,Stock Alert Count 2,Price 2,Enabled 3,Current Quantity 3,New Quantity 3,Stock Alert Enabled 3,Stock Alert Count 3,Price 3,Enabled Warehouse,Current Quantity Warehouse,New Quantity Warehouse,Stock Alert Enabled Warehouse,Stock Alert Count Warehouse,Price Warehouse,Tax - Sales Tax (8.25%),Tax - Sales Tax 2 (8.25%)
3S3OIO2E7EGLY2H7T3VW5VRC,(1 Can) Red Bull Sugar Free Energy Drink,Regular,611269101713,,Non Alcoholic Beverage,3.00,,,Y,70,,Y,0,,Y,0,,,,,Y,2,,,,,Y,0,,,,,Y,Y
SF3IB2F2DKQRJCWBV4WJB6N4,1 Water 355ml,Regular,777823111113,,Non Alcoholic Beverage,1.50,,,Y,117,,,,,Y,5,,Y,0,,Y,1,,,,,Y,0,,,,,Y,Y
RXYY264UGDD6LEIAZMPXPRPN,11 Below Brewing Taco Tuesday Cans 6 Pack,Regular,851233007157,,Craft Beer,12.99,,,Y,0,,,,,Y,0,,,,,Y,0,,,,,Y,0,,,,,Y,Y
VYDESCRSAC3J75Q2VMCM2XV5,12/24 Mixing Tin Sets,Regular,1234500000000,,Bar Tools,22.00,,,Y,0,,Y,0,,Y,,,,,,Y,,,,,,Y,,,,,,Y,Y
GXZ5W737VAHCVBNI3NEDDXXG,123 Organic Anejo Tequila 750ml,Regular,7503013136221,,Tequila,79.99,,,Y,0,,,,,Y,1,,Y,0,,Y,1,,,,,Y,5,,,,,Y,Y
QARSKTXSOQYRS2FPK5AORFWS,123 Organic Blanco Tequila 750ml,Regular,7503013136207,,Tequila,55.99,,,Y,0,,,,,Y,2,,,,,Y,,,,,,Y,1,,,,,Y,Y
GWU4UQNVGVDWBQPGVKS2V7IA,123 Organic Reposado Tequila 750ml,Regular,7503013136214,,Tequila,65.99,,,Y,2,,,,,Y,3,,,,,Y,1,,,,,Y,2,,,,,Y,Y
IZLL776D75POPTSFOL7TQKUY,17/24 Metodo Classico 750ml,Regular,805300030616,"<p>This stuff slaps, as the kids are wont to say. Very natural producer; classic / champagne method, made entirely from Corvina (a red grape). Even the dosage is leftover must from Amarone production instead of just throwing in sugar for dosage and second fermentation. One of the nerdiest things we have, and certainly amongst the tastiest. Give it a go, you&#39;ll love it!</p>",Bubbles,42.99,,,Y,1,,Y,0,,Y,8,,,,,Y,6,,,,,Y,0,,,,,Y,Y
METVWBSZOFQX5G6R3VDBAXQU,1792 12y 750ml,Regular,088004030711,,Whiskey Bourbon/American,59.99,,,Y,2,,,,,Y,1,,,,,Y,0,,,,,Y,4,,,,,Y,Y
6N5CQNOKVUPRYC3LYJ7KZJGB,1792 Bottled In Bond 750ml,Regular,088004027971,,Whiskey Bourbon/American,38.99,,,Y,0,,,,,Y,,,,,,Y,0,,Y,0,,Y,0,,,,,Y,N
OY3KULYZM24AVEB5GD4A6CM6,1792 Bottled In Bond Shaker Barrel F198083 750ml,Regular,8800488004,,Whiskey Bourbon/American,39.99,,,Y,2,,,0,,Y,4,,,0,,Y,3,,,0,,Y,7,,,0,,Y,Y
VGBL3GVJPHVHC4LSMQQ3TFMB,1792 Full Proof 750ml,Regular,080660001159,,Whiskey Bourbon/American,45.99,,,Y,0,,Y,0,,Y,0,,,,,Y,0,,,,,Y,2,,,,,Y,Y
SGWL3YMZ3FWHTVXWI4LOPMJG,1792 Single Barrel 750ml,Regular,080660001142,,Whiskey Bourbon/American,41.99,,,Y,0,,Y,0,,Y,,,,,,Y,,,,,,Y,,,,,,Y,N
ZDM7VCMAUYXYIUCWK7RGEQT2,1792 Small Batch Bourbon 1L,Regular,088004042196,,Whiskey Bourbon/American,35.99,,,Y,0,,,,,Y,0,,,,,Y,0,,,,,Y,0,,,,,Y,Y
ZT63STBLSQ7JRWXAG4G4MKYA,1792 Small Batch Bourbon 750ml,Regular,080660001203,,Whiskey Bourbon/American,36.99,,,Y,3,,,,,Y,5,,Y,0,,Y,3,,,,,Y,0,,,,,Y,Y
7F2SSIVKE4CPRNATFOJMWC36,1792 Sweet Wheat 750ml,Regular,080660001166,,Whiskey Bourbon/American,36.99,,,Y,1,,Y,0,,Y,1,,,,,Y,0,,,,,Y,2,,,,,Y,Y
6266GNTHZ5GPWZ33LPRP4JW5,1800 Blanco 1L,Regular,811538010146,,Tequila,39.99,,,Y,1,,,,,Y,7,,Y,0,,Y,2,,,,,Y,6,,,,,Y,Y
CFQL6VH6XUFG2VQJNQMWDFML,1800 Blanco 750ml,Regular,811538010139,,Tequila,31.99,,,Y,0,,Y,0,,Y,,,,,,Y,,,,,,Y,,,,,,Y,Y
RI5TRUXD3MJK6CMX6VJIPI6B,1800 Reposado 750ml,Regular,811538010238,,Tequila,31.99,,,Y,,,,,,Y,,,Y,0,,Y,,,,,,Y,,,,,,Y,Y
YYGONBSJHBV6L2NKHJKE5KEU,1876 Straight Bourbon 750ml,Regular,040232625121,,Whiskey Bourbon/American,36.99,,,Y,0,,,,,Y,0,,,,,Y,0,,,,,Y,0,,,,,Y,Y
QORFSAQFGOSXSXIHXIWYAVOS,1876 Vodka 175L,Regular,850010806136,,Vodka,23.99,,,Y,0,,Y,0,,Y,11,,,,,Y,8,,,,,Y,25,,,,,Y,Y
PK33TJ5NAFKF3QIKPP7VDRKK,1876 Vodka 1L,Regular,850010806143,,Vodka,18.99,,,Y,3,,,,,Y,0,,,,,Y,3,,Y,0,,Y,87,,,,,Y,Y
U2U67JLLL7C3VSAE6H53YDLT,1888 Dirtiest Martini Mix 1L,Regular,857438001525,,Mixer,15.99,,,Y,,,,,,Y,0,,,,,Y,0,,Y,0,,Y,0,,,,,Y,Y
3AT3GQPGFDMTUFCI7JDKVJ7M,2 Gingers Irish Whiskey 750ml,Regular,080686294047,,Whiskey Irish,22.99,,,Y,0,,,,,Y,0,,,,,Y,0,,,,,Y,36,,,,,Y,Y
