Product,AP,PV,OH,Category,Total
Better Half Sauvignon Blanc 750ml,383.0,468.0,73.0,White,924.0
El Jefe Tempranillo 1L,316.0,216.0,36.0,Red Old World,568.0
Wycliff Brut 750ml,131.0,302.0,0.0,Bubbles,433.0
Alias Cabernet Sauvignon 750ml,59.0,268.0,9.0,Red New World,336.0
Chasing Lions Cabernet Sauvignon 750ml,130.0,176.0,18.0,Red New World,324.0
Foxglove Cabernet Sauvignon 750ml,101.0,118.0,47.0,Red New World,266.0
Glinavos Paleokerisio Orange Wine 500ml,136.0,116.0,9.0,Orange Wine,261.0
Lunaria Pinot Grigio Pet Nat 750ml,169.0,79.0,11.0,Bubbles,259.0
Commuter Cuvee Pinot Noir 750ml,102.0,110.0,41.0,Red New World,253.0
Lapis Luna Red Blend 750ml,95.0,83.0,71.0,Red New World,249.0
Lunaria Coste di Moro Montepulciano 750ml,187.0,51.0,9.0,Red Old World,247.0
Naveran Brut Vintage 750ml,95.0,94.0,40.0,Bubbles,229.0
Louis Perdrier Brut Excellence 750ml,113.0,99.0,2.0,Bubbles,214.0
Lunaria Ramoro Pinot Grigio Terre di Chieti 750mL,72.0,115.0,12.0,Orange Wine,199.0
Domus Picta Treviso Prosecco 750ml,83.0,56.0,58.0,Bubbles,197.0
Gulp Hablo Garnacha 1L,135.0,51.0,10.0,Red Old World,196.0
Carro Tinto 750ml,43.0,42.0,107.0,Red Old World,192.0
La Madrid Malbec 750ml,113.0,65.0,13.0,Red New World,191.0
Marietta Old Vine Red 750ml,40.0,142.0,8.0,Red New World,190.0
Jolie Folle Sauvignon Blanc 1L,86.0,89.0,14.0,White,189.0
No Curfew Pinot Noir 750ml,73.0,96.0,16.0,Red New World,185.0
Cuvee 23 Cava 750mL,104.0,72.0,7.0,Bubbles,183.0
Grrrr Gruner Veltliner 1L,102.0,69.0,7.0,White,178.0
Naveran Brut Rosado 750ml,76.0,83.0,12.0,Bubbles,171.0
Saint Cosme Cotes du Rhone 750ml,62.0,62.0,46.0,Red Old World,170.0
Field Recordings Fiction 750ml,87.0,69.0,5.0,Red New World,161.0
Hubert Meyer Cremant Brut 750ml,68.0,73.0,15.0,Bubbles,156.0
Torre Oria Cava Brut 750ml,53.0,61.0,39.0,Bubbles,153.0
Gravel Bar Cabernet Sauvignon 750ml,86.0,43.0,20.0,Red New World,149.0
Poggio Anima Samael Montepulciano 750ml,85.0,44.0,19.0,Red Old World,148.0
Field Recordings Dry Hopped Pet Nat 750ml,99.0,46.0,1.0,Bubbles,146.0
Gayda Viognier 750ml,76.0,50.0,16.0,White,142.0
Torero Cabernet Sauvignon 750ml,78.0,58.0,5.0,Red Old World,141.0
Field Recordings Pets 750ml,40.0,93.0,5.0,Red New World,138.0
Field Recordings Chenin 750ml,71.0,39.0,27.0,White,137.0
Hedges CMS Red Blend 750ml,38.0,90.0,9.0,Red New World,137.0
Field Recordings Neverland 2017 750ml,37.0,79.0,20.0,Red New World,136.0
Il Vescovado Chianti 750ml,67.0,40.0,26.0,Red Old World,133.0
Ant Moore Sauvignon Blanc Estate 750mL,36.0,43.0,53.0,White,132.0
Lan Rioja Crianza 750ml,41.0,79.0,12.0,Red Old World,132.0
Jigsaw Pinot Noir 750ml,62.0,58.0,12.0,Red New World,132.0
Crazy Creatures 750mL,61.0,66.0,4.0,White,131.0
