,ProductName,Airport,Oak Hill,Pleasant Valley,Warehouse
0,1 Water 355ml,117.0,1.0,5.0,
1,11 Below Brewing Taco Tuesday Cans 6 Pack,,,,0.0
2,12/24 Mixing Tin Sets,0.0,,0.0,
3,123 Organic Anejo Tequila 750ml,0.0,1.0,1.0,4.0
4,123 Organic Blanco Tequila 750ml,0.0,1.0,2.0,6.0
5,123 Organic Reposado Tequila 750ml,3.0,1.0,1.0,7.0
6,16oz Mixing Glass,0.0,,,
7,17/24 Metodo Classico 750ml,0.0,6.0,9.0,
8,1792 12y 750ml,1.0,0.0,1.0,2.0
9,1792 Bottled In Bond 750ml,0.0,0.0,0.0,0.0
10,1792 Bottled In Bond Nickel City Barrel 750ml,0.0,0.0,0.0,0.0
11,1792 Bottled In Bond Shaker Barrel F198083 750ml,2.0,3.0,4.0,7.0
12,1792 Full Proof 750ml,0.0,0.0,0.0,1.0
13,1792 Single Barrel 750ml,0.0,0.0,0.0,
14,1792 Small Batch Bourbon 1L,0.0,0.0,0.0,26.0
15,1792 Small Batch Bourbon 750ml,3.0,2.0,2.0,
16,1792 Sweet Wheat 750ml,1.0,0.0,1.0,1.0
17,1800 Blanco 1L,5.0,1.0,7.0,6.0
18,1800 Blanco 750ml,2.0,,1.0,10.0
19,1800 Mango Margarita 1.75L,0.0,,,
20,1876 Straight Bourbon 750ml,,,0.0,
21,1876 Vodka 175L,3.0,7.0,9.0,25.0
22,1876 Vodka 1L,2.0,2.0,0.0,52.0
23,1876 Vodka 750ml,0.0,,,
24,1888 Dirtiest Martini Mix 1L,0.0,0.0,1.0,
25,2 Gingers Irish Whiskey 750ml,,,,36.0
26,20000 Leguas 750ml,0.0,0.0,0.0,
27,21 Seeds Cucumber Jalapeno Tequila 750ml,,,0.0,3.0
28,21st Amendment Blood Orange Cans 6 Pack,0.0,,0.0,
29,21st Amendment Brew Free IPA Cans 6pk,0.0,,1.0,
30,21st Amendment El Sully Cans 6 Pack,0.0,,0.0,
31,21st Amendment Hell or High Watermelon 12-pack,2.0,,2.0,
32,21st Amendment Seasonal Release Cans 6 Pack,1.0,,2.0,
33,21st Amendment Sparkle Cans 6 Pack,0.0,,0.0,
