ProductName,Category,Pleasant Valley,Warehouse
1792 Full Proof 750ml,Whiskey Bourbon/American,0.0,1.0
1792 Small Batch Bourbon 1L,Whiskey Bourbon/American,0.0,26.0
1876 Vodka 1L,Vodka,0.0,52.0
2 Gingers Irish Whiskey 750ml,Whiskey Irish,-1.0,36.0
21 Seeds Cucumber Jalapeno Tequila 750ml,Tequila,0.0,3.0
4 Copas Reposado 750ml,Tequila,-1.0,4.0
512 IPA 6pk Bottles,Craft Beer,0.0,20.0
512 IPA 6pk Cans,Craft Beer,0.0,16.0
512 Juicy IPA 6pk cans,Craft Beer,0.0,24.0
6 O'clock Sloe Gin 750ml,Gin,0.0,28.0
ATXA Dry Vermouth 750ml,Fortified,-1.0,7.0
Abraham Bowman Pioneer Spirit 750ml,Whiskey Bourbon/American,-1.0,1.0
Absolut Apeach 1L,Vodka,-1.0,24.0
Absolut Grapefruit 750ml,Vodka,-1.0,3.0
Absolut Pears 1L,Vodka,-1.0,1.0
Absolut Raspberri 1L,Vodka,-1.0,12.0
Absolut Vodka 1L,Vodka,0.0,41.0
Absolut Watermelon 1L,Vodka,-1.0,12.0
Acqua Panna  Cs 12 x 1L,Non Alcoholic Beverage,-1.0,10.0
Adnams Rye Malt 750ml,Whisky English,0.0,1.0
Adnams Single Malt 750ml,Whisky English,0.0,1.0
Adult Madlibs Ode to Alcohol,Books,-1.0,10.0
Agave De Cortes Espadin Joven 750ml,Mezcal,-1.0,10.0
Agave De Cortes Espadin Reposado 750ml,Mezcal,-1.0,14.0
Akashi Single Malt 750ml,Whiskey Japanese,0.0,6.0
Akashi Single Malt Sake Cask 5 yr 750ml,Whiskey Japanese,-1.0,2.0
Alberta Cask Strength Rye 750ml,Whiskey Canadian,0.0,12.0
Alipus Aniversario XX San Miguel 750ml,Mezcal,-1.0,1.0
Alipus Ensamble San Andres 750ml,Mezcal,0.0,36.0
Alkkemist Gin 750ml,Gin,0.0,11.0
Altesino Grappa Di Brunello 750ml,Grappa,0.0,2.0
Amargo Chuncho Bitters 75ml,Bitters,0.0,4.0
Amaro Dell Etna 1L,Amaro,0.0,4.0
Amarula Cream 1L,Liqueur,0.0,28.0
Amass Dry Gin 750ml,Gin,-1.0,25.0
Amass Vodka 750ml,Vodka,0.0,22.0
Amico Amaro 750ml,Amaro,0.0,13.0
Amrut Bagheera 750ml,Itnl Whiskey,-1.0,3.0
Amrut Niedhal 750ml,Itnl Whiskey,-1.0,6.0
Amrut Nilgiris Gin 750ml,Gin,-1.0,6.0
Ancient Age Kentucky Straight Bourbon 1L,Whiskey Bourbon/American,0.0,23.0
Ancnoc 12y 750ml,Whiskey Scotch,-1.0,7.0
Ancnoc 18y 750ml,Whiskey Scotch,-1.0,2.0
Angels Envy Ice Cider Cask Rye 750ml,Whiskey Rye,-1.0,1.0
Aperol 1L,Amaro,0.0,170.0
Appleton Estate 15y Black River Casks 750ml,Rum,0.0,17.0
Appleton Estate 1999 750ml,Rum,0.0,1.0
Appleton Estate Signature Blend 1.75L,Rum,-1.0,37.0
Appleton Estate Signature Blend 1L,Rum,0.0,1.0
Ardbeg Ardcore 750ml,Whiskey Scotch,-1.0,5.0
Ardbeg Arrrrrrrdbeg 750ml,Whiskey Scotch,0.0,1.0
Ardbeg Wee Beastie 750ml,Whiskey Scotch,0.0,7.0
ArteNom 1123 Blanco Historico 750ml,Tequila,0.0,7.0
Athletic Run Wild IPA N/A 6 Pack Cans,Non Alcoholic Beverage,-1.0,20.0
Athletic Upside Dawn 6pk,Non Alcoholic Beverage,-1.0,12.0
Austin Beerworks Amber Vision 6 pk cans,Craft Beer,-1.0,12.0
Austin Cocktails Sparkling Bergamot Orange Margarita 4/250ml,RTD,-1.0,12.0
Austin Cocktails Sparkling Cucumber Mojito 4/250ml,RTD,-1.0,6.0
Austin Cocktails Sparkling Ruby Red 4/250ml,RTD,-1.0,12.0
Averna Amaro 1L,Amaro,0.0,20.0
Avion Anejo 1L,Tequila,0.0,4.0
Avion Reserva Cristalino 750ml,Tequila,-1.0,2.0
Awayuki Strawberry Gin 750ml,Gin,0.0,4.0
B'Lure Butterfly Pea Extract 100ml,Garnish,0.0,18.0
BRYT Sparkling White 3pk 250ml,White,-1.0,16.0
BSB Brown Sugar Bourbon 750ml,Whiskey Bourbon/American,-1.0,5.0
Bacardi Anejo 4 Year 1L,Rum,0.0,11.0
Bacardi Anejo 4 Year 750ml,Rum,0.0,6.0
Bacardi Black 1L,Rum,0.0,12.0
Bacardi Dragonberry 1L,Rum,0.0,13.0
Bacardi Gold Rum 175L,Rum,-1.0,10.0
Bacardi Lime 1L,Rum,-1.0,12.0
Bacardi Mojito 6pk,RTD,-1.0,4.0
Bacardi Superior 175L,Rum,-1.0,14.0
Baileys 1L,Liqueur,0.0,37.0
Baileys Almande 750ml,Liqueur,-1.0,16.0
Balblair 12y 750ml,Whiskey Scotch,-1.0,4.0
Balcones Big Baby Tequila Cask 750ml,Whiskey Bourbon/American,0.0,2.0
Balcones Peated Single Malt 750ml,Whiskey American Single Malt,0.0,4.0
Balcones Rye 100 750ml,Whiskey Rye,0.0,34.0
Balcones True Blue 100 Proof 750ml,Whiskey Bourbon/American,0.0,3.0
Balvenie 15y Sherry Cask 750ml,Whiskey Scotch,0.0,5.0
Balvenie 16y French Oak 750ml,Whiskey Scotch,-1.0,5.0
Banner Vodka 750ml,Vodka,0.0,4.0
Barbadillo Manzanilla Sherry 750mL,Fortified,-1.0,23.0
Bardstown Bourbon Company Discovery 750ml,Whiskey Bourbon/American,0.0,12.0
Bardstown Bourbon Company Ferrand Cask 750ml,Whiskey Bourbon/American,0.0,2.0
Bare Bone Vodka 1L,Vodka,0.0,32.0
Bareksten Aquavit 750ml,Aquavit,-1.0,5.0
Bareksten Gin 750ml,Gin,0.0,11.0
Barrell Armida 750ml,Whiskey Bourbon/American,0.0,5.0
Barrell Bourbon 29 750ml,Whiskey Bourbon/American,0.0,1.0
Barsol Pisco Quebranta 750ml,Pisco,0.0,5.0
Basil Hayden Bourbon 1L,Whiskey Bourbon/American,0.0,1.0
Basil Hayden Rye 10y 750ml,Whiskey Bourbon/American,0.0,3.0
