Action,ProductSKU,ProductName,Location,MinimumBeforeReorder75,MinimumBeforeReorder85,ReorderQuantity,75Savings,85Savings,Stock Locator,PickZones
Create/Update,7503013136207,123 Organic Blanco Tequila 750ml,Customer Square 2,0,1,3,47.99,0.0,,
Create/Update,7503013136214,123 Organic Reposado Tequila 750ml,Customer Square 2,0,0,3,56.99,56.99,,
Create/Update,805300030616,17/24 Metodo Classico 750ml,Customer Square 2,1,1,6,42.99,42.99,,
Create/Update,088004027971,1792 Bottled In Bond 750ml,Customer Square 2,0,1,6,77.98,38.99,,
Create/Update,080660001159,1792 Full Proof 750ml,Customer Square 2,0,0,6,45.99,45.99,,
Create/Update,080660001142,1792 Single Barrel 750ml,Customer Square 2,0,0,6,41.99,41.99,,
Create/Update,080660001203,1792 Small Batch Bourbon 750ml,Customer Square 2,1,1,6,36.99,36.99,,
Create/Update,811538010146,1800 Blanco 1L,Customer Square 2,1,2,6,79.98,39.99,,
Create/Update,040232625121,1876 Straight Bourbon 750ml,Customer Square 2,0,0,12,73.98,73.98,,
Create/Update,850010806136,1876 Vodka 175L,Customer Square 2,0,1,6,47.98,23.99,,
Create/Update,850010806143,1876 Vodka 1L,Customer Square 2,1,2,12,18.99,0.0,,
Create/Update,857438001525,1888 Dirtiest Martini Mix 1L,Customer Square 2,0,0,8,191.88,191.88,,
Create/Update,811538013628,400 Conejos Espadin 750ml,Customer Square 2,0,1,6,57.98,28.99,,
Create/Update,080480284312,42 Below 1L,Customer Square 2,0,0,6,37.98,37.98,,
Create/Update,852674006068,512 IPA 6pk Bottles,Customer Square 2,2,2,4,10.99,10.99,,
Create/Update,852674006488,512 IPA 6pk Cans,Customer Square 2,0,0,4,32.97,32.97,,
Create/Update,852674006501,512 Juicy IPA 6pk cans,Customer Square 2,0,0,4,32.97,32.97,,
Create/Update,852674006044,512 Pecan Porter 4pk Bottles,Customer Square 2,1,2,6,21.98,10.99,,
Create/Update,852674006365,512 Seasonal 6 Pack 12oz Cans,Customer Square 2,1,2,6,21.98,10.99,,
Create/Update,852674006143,512 Wit 6 Pack Cans,Customer Square 2,1,1,4,29.97,29.97,,
Create/Update,876718036903,6 Pack Bike Carrier,Customer Square 2,0,0,6,,,,
Create/Update,089000118397,99 Apple Schnapps 50ml,Customer Square 2,9,13,120,50.49,46.53,,
Create/Update,080660620992,99 Bananas 50ml,Customer Square 2,9,14,120,50.49,45.54,,
Create/Update,080660620053,99 Bananas 750ml,Customer Square 2,0,0,12,37.98,37.98,,
Create/Update,088004045418,99 Cherry Limeade 50ml,Customer Square 2,4,6,120,55.44,53.46,,
Create/Update,088004034221,99 Party Bucket 50ml,Customer Square 2,1,2,6,16.99,0.0,,
Create/Update,8437015853109,AUS Pet Nat 750ml,Customer Square 2,1,1,12,25.99,25.99,,
Create/Update,7503027709251,Abasolo Corn Whisky 50ml,Customer Square 2,0,0,60,47.88,47.88,,
Create/Update,7503027709077,Abasolo Corn Whisky 750ml,Customer Square 2,1,1,6,42.99,42.99,,
Create/Update,080480220006,Aberfeldy 12y 750ml,Customer Square 2,2,2,6,39.99,39.99,,
Create/Update,080432102145,Aberlour 12y 750ml,Customer Square 2,0,0,6,63.99,63.99,,
Create/Update,080432102169,Aberlour 16y 750ml,Customer Square 2,0,0,6,102.99,102.99,,
Create/Update,080432114612,Aberlour A'bunadh Alba 750ml,Customer Square 2,0,0,6,118.99,118.99,,
Create/Update,080432516171,Aberlour Abunadh 750ml,Customer Square 2,0,0,6,109.99,109.99,,
Create/Update,12161216,Absinthe Brouilleur 3 Hole,Customer Square 2,0,0,2,28.0,28.0,,
Create/Update,13041304,Absinthe Fountain 4 Spout,Customer Square 2,0,0,2,199.99,199.99,,
Create/Update,1234500000005,Absinthe Fountain 6 Spout Lady,Customer Square 2,0,0,2,259.0,259.0,,
Create/Update,13741374,Absinthe Fountain Glass 4 Spout,Customer Square 2,0,0,1,0.0,0.0,,
Create/Update,14651465,Absinthe Glass Coupe,Customer Square 2,0,0,12,48.0,48.0,,
Create/Update,14601460,Absinthe Glass Lyon,Customer Square 2,0,0,12,56.0,56.0,,
Create/Update,14301430,Absinthe Glass Pontarlier,Customer Square 2,0,0,12,48.0,48.0,,
Create/Update,10031003,Absinthe Spoon,Customer Square 2,0,0,10,50.0,50.0,,
Create/Update,1234500000011,Absinthe Sugar Cubes (2pack),Customer Square 2,6,10,1000,47.0,45.0,,
