,SKU,Product,Customer,Location,Status,Category,OnHand,Quantity,Sale,Unit
0,777823111113,1 Water 355ml,Customer Square 1,Airport,ACTIVE,Non Alcoholic Beverage,116.0,8.0,12.0,1.5
1,777823111113,1 Water 355ml,Customer Square 3,Oak Hill,ACTIVE,Non Alcoholic Beverage,1.0,,,
2,777823111113,1 Water 355ml,Customer Square 2,Pleasant Valley,ACTIVE,Non Alcoholic Beverage,5.0,,,
3,1234500000000,12/24 Mixing Tin Sets,Customer Square 1,Airport,ACTIVE,Bar Tools,0.0,,,
4,1234500000000,12/24 Mixing Tin Sets,Customer Square 2,Pleasant Valley,ACTIVE,Bar Tools,0.0,,,
5,7503013136221,123 Organic Anejo Tequila 750ml,Customer Square 1,Airport,ACTIVE,Tequila,0.0,,,
6,7503013136221,123 Organic Anejo Tequila 750ml,Customer Square 3,Oak Hill,ACTIVE,Tequila,1.0,,,
7,7503013136221,123 Organic Anejo Tequila 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Tequila,1.0,4.0,299.96,74.99
8,7503013136207,123 Organic Blanco Tequila 750ml,Customer Square 1,Airport,ACTIVE,Tequila,0.0,3.0,151.97,50.656666666666666
9,7503013136207,123 Organic Blanco Tequila 750ml,Customer Square 3,Oak Hill,ACTIVE,Tequila,1.0,,,
10,7503013136207,123 Organic Blanco Tequila 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Tequila,3.0,11.0,559.89,50.89909090909091
11,7503013136214,123 Organic Reposado Tequila 750ml,Customer Square 1,Airport,ACTIVE,Tequila,3.0,2.0,122.98,61.49
12,7503013136214,123 Organic Reposado Tequila 750ml,Customer Square 3,Oak Hill,ACTIVE,Tequila,1.0,4.0,254.96,63.74
13,7503013136214,123 Organic Reposado Tequila 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Tequila,2.0,13.0,839.87,64.60538461538462
14,1234500000001,16oz Mixing Glass,Customer Square 1,Airport,DEPRECATED,Bar Tools,0.0,,,
15,805300030616,17/24 Metodo Classico 750ml,Customer Square 1,Airport,ACTIVE,Bubbles,0.0,9.0,386.91,42.99
16,805300030616,17/24 Metodo Classico 750ml,Customer Square 3,Oak Hill,ACTIVE,Bubbles,6.0,2.0,85.98,42.99
17,805300030616,17/24 Metodo Classico 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Bubbles,9.0,23.0,988.77,42.99
18,088004030711,1792 12y 750ml,Customer Square 1,Airport,ACTIVE,Whiskey Bourbon/American,1.0,8.0,479.92,59.99
