,ProductCode,Name_x,Category_x,Barcode,Price_x,Status,Name_y,SKU,Category_y,Price_y,Enabled 1,Enabled 2,Enabled 3,Enabled Warehouse,Tax 1,Tax 2
0,,,Service,,50.0,ACTIVE,El Tesoro Reposado Nickel City 750ml,,Tequila,variable,N,N,N,N,Y,N
1,,,Service,,50.0,ACTIVE,Ichiros Malt Chichibu 2020 Peated 750ml,,Whiskey Japanese,variable,Y,N,Y,N,Y,Y
2,,,Service,,50.0,ACTIVE,Milagro Silver 175L,,Tequila,variable,N,N,N,N,Y,Y
3,,,Service,,50.0,ACTIVE,Milagro Silver 175L,,Tequila,variable,N,N,N,N,Y,N
4,,,Service,,50.0,ACTIVE,Milagro Silver 175L,,Tequila,variable,N,N,N,N,Y,N
5,,,Service,,50.0,ACTIVE,Quality House Vodka 1L,,Vodka,9.99,Y,Y,Y,Y,Y,Y
6,,,Service,,50.0,ACTIVE,Russells Reserve Nickel City Barrel 750ml,,Whiskey Bourbon/American,62.99,Y,Y,Y,Y,Y,Y
7,,,Service,,50.0,ACTIVE,Siembra Azul Reposado 750ml,,Tequila,variable,N,N,N,N,Y,N
8,,,Service,,50.0,ACTIVE,Siembra Azul Reposado 750ml,,Tequila,variable,N,N,N,N,Y,N
9,,,Service,,50.0,ACTIVE,Siembra Azul Reposado 750ml,,Tequila,variable,N,N,N,N,Y,Y
10,777823111113,1 Water 355ml,Non Alcoholic Beverage,777823111113,1.5,ACTIVE,1 Water 355ml,777823111113,Non Alcoholic Beverage,1.50,Y,Y,Y,Y,Y,Y
11,851233007157,11 Below Brewing Taco Tuesday Cans 6 Pack,Craft Beer,851233007157,12.99,ACTIVE,11 Below Brewing Taco Tuesday Cans 6 Pack,851233007157,Craft Beer,12.99,Y,Y,Y,Y,Y,Y
12,1234500000000,12/24 Mixing Tin Sets,Bar Tools,1234500000000,22.0,ACTIVE,12/24 Mixing Tin Sets,1234500000000,Bar Tools,22.00,Y,Y,Y,Y,Y,Y
13,7503013136221,123 Organic Anejo Tequila 750ml,Tequila,7503013136221,79.99,ACTIVE,123 Organic Anejo Tequila 750ml,7503013136221,Tequila,79.99,Y,Y,Y,Y,Y,Y
14,7503013136207,123 Organic Blanco Tequila 750ml,Tequila,7503013136207,55.99,ACTIVE,123 Organic Blanco Tequila 750ml,7503013136207,Tequila,55.99,Y,Y,Y,Y,Y,Y
15,7503013136214,123 Organic Reposado Tequila 750ml,Tequila,7503013136214,65.99,ACTIVE,123 Organic Reposado Tequila 750ml,7503013136214,Tequila,65.99,Y,Y,Y,Y,Y,Y
16,1234500000001,16oz Mixing Glass,Bar Tools,1234500000001,3.0,DEPRECATED,,,,,,,,,,
17,805300030616,17/24 Metodo Classico 750ml,Bubbles,805300030616,42.99,ACTIVE,17/24 Metodo Classico 750ml,805300030616,Bubbles,42.99,Y,Y,Y,Y,Y,Y
18,088004030711,1792 12y 750ml,Whiskey Bourbon/American,088004030711,59.99,ACTIVE,1792 12y 750ml,088004030711,Whiskey Bourbon/American,59.99,Y,Y,Y,Y,Y,Y
19,088004027971,1792 Bottled In Bond 750ml,Whiskey Bourbon/American,088004027971,38.99,ACTIVE,1792 Bottled In Bond 750ml,088004027971,Whiskey Bourbon/American,38.99,Y,Y,Y,Y,Y,N
20,8800588005,1792 Bottled In Bond Nickel City Barrel 750ml,Whiskey Bourbon/American,8800588005,34.99,ACTIVE,,,,,,,,,,
21,8800488004,1792 Bottled In Bond Shaker Barrel F198083 750ml,Whiskey Bourbon/American,8800488004,39.99,ACTIVE,1792 Bottled In Bond Shaker Barrel F198083 750ml,8800488004,Whiskey Bourbon/American,39.99,Y,Y,Y,Y,Y,Y
22,080660001159,1792 Full Proof 750ml,Whiskey Bourbon/American,080660001159,45.99,ACTIVE,1792 Full Proof 750ml,080660001159,Whiskey Bourbon/American,45.99,Y,Y,Y,Y,Y,Y
23,080660001142,1792 Single Barrel 750ml,Whiskey Bourbon/American,080660001142,41.99,ACTIVE,1792 Single Barrel 750ml,080660001142,Whiskey Bourbon/American,41.99,Y,Y,Y,Y,Y,N
24,088004042196,1792 Small Batch Bourbon 1L,Whiskey Bourbon/American,088004042196,35.99,ACTIVE,1792 Small Batch Bourbon 1L,088004042196,Whiskey Bourbon/American,35.99,Y,Y,Y,Y,Y,Y
25,080660001203,1792 Small Batch Bourbon 750ml,Whiskey Bourbon/American,080660001203,36.99,ACTIVE,1792 Small Batch Bourbon 750ml,080660001203,Whiskey Bourbon/American,36.99,Y,Y,Y,Y,Y,Y
26,080660001166,1792 Sweet Wheat 750ml,Whiskey Bourbon/American,080660001166,36.99,ACTIVE,1792 Sweet Wheat 750ml,080660001166,Whiskey Bourbon/American,36.99,Y,Y,Y,Y,Y,Y
27,811538010146,1800 Blanco 1L,Tequila,811538010146,39.99,ACTIVE,1800 Blanco 1L,811538010146,Tequila,39.99,Y,Y,Y,Y,Y,Y
28,811538010139,1800 Blanco 750ml,Tequila,811538010139,31.99,ACTIVE,1800 Blanco 750ml,811538010139,Tequila,31.99,Y,Y,Y,Y,Y,Y
29,811538018920,1800 Mango Margarita 1.75L,RTD,,19.99,DEPRECATED,,,,,,,,,,
