,Item Name,SKU,Category,Price,Enabled 1,Enabled 2,Enabled 3,Enabled Warehouse,Tax 1,Tax 2
145,Advil 2 Pack,24291261360,Retail,0.99,N,N,Y,N,Y,N
170,Alesmith Nut Brown 6 Pk 12oz Cans,812465000972,Other,11.00,N,N,Y,N,Y,N
330,Arette Anejo 1L,704228067042,Tequila,38.99,N,Y,N,N,Y,Y
332,Arette Artesanal Anejo 750ml,704228056121,Tequila,82.99,N,Y,N,N,Y,Y
334,Arette Artesanal Blanco 750ml,704228202009,Tequila,59.99,N,Y,Y,Y,Y,Y
336,Arette Artesanal Reposado 750ml,704228203006,Tequila,65.99,N,Y,N,N,Y,Y
338,Arette Blanco 1L,704228011212,Tequila,22.99,N,Y,Y,Y,Y,Y
341,Arette Gran Classe Extra Anejo 750ml,704228201033,Tequila,149.99,N,Y,N,N,Y,Y
343,Arette Reposado 1L,704228014213,Tequila,26.99,N,N,Y,N,Y,N
361,ArteNom 1146 Anejo 750ml,618115113036,Tequila,104.99,N,N,Y,N,Y,N
364,ArteNom 1549 Blanco 750ml,618115103044,Tequila,64.99,N,N,Y,N,Y,N
366,ArteNom 1579 Blanco 750ml,618115113050,Tequila,59.99,N,Y,N,N,Y,Y
367,ArteNom 1579 Blanco 750ml,618115103051,Tequila,59.99,N,N,Y,Y,Y,N
370,Astral Tequila 750ml,700175342553,Tequila,34.99,N,Y,Y,Y,Y,Y
414,Austin Shaker T-Shirt,1234500000018,Retail,15.00,N,Y,N,N,Y,Y
446,Avion Anejo 1L,80432110430,Tequila,64.99,N,N,Y,N,Y,N
450,Avion Reposado 1L,80432110423,Tequila,59.99,N,N,Y,N,Y,N
452,Avion Reposado 375ml,736040521891,Tequila,24.99,N,Y,N,N,Y,Y
453,Avion Reposado 50ml,736040521921,Tequila,3.99,N,Y,N,N,Y,Y
457,Avion Silver 1L,080432110447,Tequila,54.99,N,N,Y,N,Y,N
460,Avion Silver 750ml,736040519348,Tequila,47.99,N,N,Y,N,Y,N
