Product,Total,Mean,Std,Min,Max,50,75,85,Action,ProductSKU,Customer,MinimumBeforeReorder,ReorderQuantity,Unit,RoundedMean,DiffMean,Diff75,Diff85,MeanSavings,75Savings,85Savings
123 Organic Blanco Tequila 750ml,11.0,0.21153846153846154,0.45304688420729794,0.0,2.0,0.0,0.0,1.0,Create/Update,7503013136207,Customer Square 2,1,3,47.99,0.0,1.0,1.0,0.0,47.99,47.99,0.0
123 Organic Reposado Tequila 750ml,8.0,0.15384615384615385,0.36080121229411005,0.0,1.0,0.0,0.0,0.3500000000000014,Create/Update,7503013136214,Customer Square 2,1,3,56.99,0.0,1.0,1.0,1.0,56.99,56.99,56.99
17/24 Metodo Classico 750ml,24.0,0.46153846153846156,0.795698494829892,0.0,3.0,0.0,1.0,1.0,Create/Update,805300030616,Customer Square 2,2,6,42.99,0.0,2.0,1.0,1.0,85.98,42.99,42.99
1792 Bottled In Bond 750ml,14.0,0.2692307692307692,0.6826245903576479,0.0,3.0,0.0,0.0,1.0,Create/Update,088004027971,Customer Square 2,2,6,38.99,0.0,2.0,2.0,1.0,77.98,77.98,38.99
1792 Full Proof 750ml,6.0,0.11538461538461539,0.42307692307692335,0.0,2.0,0.0,0.0,0.0,Create/Update,080660001159,Customer Square 2,1,6,45.99,0.0,1.0,1.0,1.0,45.99,45.99,45.99
1792 Single Barrel 750ml,6.0,0.11538461538461539,0.37487670556957536,0.0,2.0,0.0,0.0,0.0,Create/Update,080660001142,Customer Square 2,1,6,41.99,0.0,1.0,1.0,1.0,41.99,41.99,41.99
1792 Small Batch Bourbon 750ml,29.0,0.5576923076923077,0.9489561378057945,0.0,5.0,0.0,1.0,1.3500000000000014,Create/Update,080660001203,Customer Square 2,2,6,36.99,1.0,1.0,1.0,1.0,36.99,36.99,36.99
1800 Blanco 1L,42.0,0.8076923076923077,0.9413260192708017,0.0,3.0,1.0,1.0,2.0,Create/Update,811538010146,Customer Square 2,3,6,39.99,1.0,2.0,2.0,1.0,79.98,79.98,39.99
1876 Straight Bourbon 750ml,3.0,0.057692307692307696,0.3046726830337474,0.0,2.0,0.0,0.0,0.0,Create/Update,040232625121,Customer Square 2,2,12,36.99,0.0,2.0,2.0,2.0,73.98,73.98,73.98
1876 Vodka 175L,14.0,0.2692307692307692,0.5586861171666901,0.0,3.0,0.0,0.0,1.0,Create/Update,850010806136,Customer Square 2,2,6,23.99,0.0,2.0,2.0,1.0,47.98,47.98,23.99
1876 Vodka 1L,48.0,0.9230769230769231,1.8381235608228497,0.0,12.0,0.0,1.0,2.0,Create/Update,850010806143,Customer Square 2,2,12,18.99,1.0,1.0,1.0,0.0,18.99,18.99,0.0
1888 Dirtiest Martini Mix 1L,3.0,0.057692307692307696,0.23316068563427206,0.0,1.0,0.0,0.0,0.0,Create/Update,857438001525,Customer Square 2,12,8,15.99,0.0,12.0,12.0,12.0,191.88,191.88,191.88
400 Conejos Espadin 750ml,20.0,0.38461538461538464,0.8355984993230933,0.0,4.0,0.0,0.25,1.0,Create/Update,811538013628,Customer Square 2,2,6,28.99,0.0,2.0,2.0,1.0,57.98,57.98,28.99
42 Below 1L,5.0,0.09615384615384616,0.2948021099376133,0.0,1.0,0.0,0.0,0.0,Create/Update,080480284312,Customer Square 2,2,6,18.99,0.0,2.0,2.0,2.0,37.98,37.98,37.98
512 IPA 6pk Bottles,68.0,1.3076923076923077,1.6817854699288808,0.0,10.0,1.0,2.0,2.0,Create/Update,852674006068,Customer Square 2,3,4,10.99,1.0,2.0,1.0,1.0,21.98,10.99,10.99
512 IPA 6pk Cans,8.0,0.15384615384615385,0.5678778100089775,0.0,3.0,0.0,0.0,0.0,Create/Update,852674006488,Customer Square 2,3,4,10.99,0.0,3.0,3.0,3.0,32.97,32.97,32.97
512 Juicy IPA 6pk cans,13.0,0.25,0.6162853984216179,0.0,2.0,0.0,0.0,0.3500000000000014,Create/Update,852674006501,Customer Square 2,3,4,10.99,0.0,3.0,3.0,3.0,32.97,32.97,32.97
512 Pecan Porter 4pk Bottles,26.0,0.5,0.820412654142367,0.0,3.0,0.0,1.0,2.0,Create/Update,852674006044,Customer Square 2,3,6,10.99,0.0,3.0,2.0,1.0,32.97,21.98,10.99
512 Seasonal 6 Pack 12oz Cans,35.0,0.6730769230769231,0.9348211232874334,0.0,3.0,0.0,1.0,2.0,Create/Update,852674006365,Customer Square 2,3,6,10.99,1.0,2.0,2.0,1.0,21.98,21.98,10.99
512 Wit 6 Pack Cans,17.0,0.3269230769230769,0.5449472044347984,0.0,2.0,0.0,1.0,1.0,Create/Update,852674006143,Customer Square 2,4,4,9.99,0.0,4.0,3.0,3.0,39.96,29.97,29.97
6 Pack Bike Carrier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Create/Update,876718036903,Customer Square 2,2,6,,0.0,2.0,2.0,2.0,,,
99 Apple Schnapps 50ml,278.0,5.346153846153846,6.80464947207935,0.0,27.0,2.0,9.25,13.0,Create/Update,089000118397,Customer Square 2,60,120,0.99,5.0,55.0,51.0,47.0,54.45,50.49,46.53
99 Bananas 50ml,349.0,6.711538461538462,6.410137819415845,0.0,27.0,5.0,9.0,14.0,Create/Update,080660620992,Customer Square 2,60,120,0.99,7.0,53.0,51.0,46.0,52.47,50.49,45.54
99 Bananas 750ml,3.0,0.057692307692307696,0.233160685634272,0.0,1.0,0.0,0.0,0.0,Create/Update,080660620053,Customer Square 2,2,12,18.99,0.0,2.0,2.0,2.0,37.98,37.98,37.98
99 Cherry Limeade 50ml,187.0,3.5961538461538463,7.606322308004989,0.0,38.0,0.0,4.0,6.350000000000001,Create/Update,088004045418,Customer Square 2,60,120,0.99,4.0,56.0,56.0,54.0,55.44,55.44,53.46
