,Name,SKU,Category,Price,Enabled 1,Enabled 2,Enabled 3,Enabled Warehouse,Tax 1,Tax 2
144,Advil 2 Pack,24291261360,Retail,0.99,N,N,Y,N,Y,N
168,Alesmith Nut Brown 6 Pk 12oz Cans,812465000972,,11.99,Y,N,N,N,Y,N
169,Alesmith Nut Brown 6 Pk 12oz Cans,812465000972,Other,11.00,N,N,Y,N,Y,N
401,Austin Shaker T-Shirt,1234500000018,Retail,15.00,N,Y,N,N,Y,Y
534,Bamboo Picks Pack of 24,876718006395,Retail,1.39,Y,N,N,N,Y,N
535,Bamboo Picks Pack of 24,876718006395,Retail,1.39,N,Y,Y,Y,Y,Y
584,Barrell Bourbon 33 750mL,736040005605,Whiskey Bourbon/American,91.99,N,Y,N,N,N,N
585,Barrell Bourbon 33 750mL,736040005605,Whiskey Bourbon/American,91.99,Y,N,N,N,N,N
586,Barrell Bourbon 33 750mL,736040005605,Whiskey Bourbon/American,91.99,N,N,Y,Y,Y,N
620,BC Powder 2 Pack,42037111137,Retail,0.99,N,N,Y,N,Y,N
621,BC Powder 2 Pack,42037111137,Retail,0.99,N,Y,N,N,Y,Y
719,Big Hunk,070602739004,Retail,0.75,Y,N,N,N,Y,N
721,Big Red,02217400,,0.35,Y,N,N,N,Y,N
893,Blush Donut Drink Floaties,842094151752,Retail,8.99,Y,N,N,N,Y,N
1005,Brewdog Hazey Jane 6pk,824817100319,Craft Beer,11.99,Y,N,N,N,N,N
1006,Brewdog Hazy Jane Ipa,842817100319,Craft Beer,11.99,N,Y,Y,Y,N,N
1007,Brewdog Hellcat,842817100760,Craft Beer,11.99,N,Y,Y,Y,N,N
1145,Burrito Fiestero Ancestral Castilla Durango 750ml,850009098122,Mezcal,119.99,N,Y,N,N,N,N
1181,Cakewalk Sweater Napkin,876718032479,Retail,3.99,N,Y,N,N,Y,Y
1194,Cambridge road Naturalist Blanc,09421905022132,White,28.99,N,Y,N,N,N,N
1195,Cambridge road Naturalist Blanc,09421905022132,White,28.99,N,N,Y,Y,Y,N
1196,Cambridge road Naturalist Blanc,09421905022132,White,28.99,Y,N,N,N,N,N
1301,Casamigos Reposado 375ml,856724006220,Tequila,23.99,Y,N,N,N,Y,N
1302,Casamigos Reposado 375ml,856724006220,Tequila,23.99,N,Y,Y,Y,Y,Y
1307,Cascahuin Anejo 750ml,718783000079,Tequila,64.99,Y,N,N,N,Y,N
1308,Cascahuin Anejo 750ml,718783000079,Tequila,64.99,N,Y,Y,Y,Y,Y
1309,Cascahuin Aniversario 750ml,718783000130,Tequila,129.99,Y,N,N,N,Y,N
1311,Cascahuin Blanco 750ml,718783000048,Tequila,37.99,Y,N,N,N,Y,N
1312,Cascahuin Blanco 750ml,718783000048,Tequila,37.99,N,Y,Y,Y,Y,Y
1315,Cascahuin Reposado 750ml,718783000086,Tequila,54.99,Y,Y,N,Y,Y,Y
1416,CHEEZ-IT,024100122615,Snacks,0.50,Y,N,Y,Y,Y,Y
1532,Clase Azul Plata 750ml,081240049547,Tequila,134.99,Y,N,N,N,Y,N
1533,Clase Azul Plata 750ml,081240049547,Tequila,134.99,N,Y,Y,Y,Y,Y
1535,Clase Azul Reposado 750ml,081240049516,Tequila,169.99,N,Y,N,N,Y,Y
1536,Clase Azul Reposado 750ml,081240049516,Tequila,169.99,Y,N,Y,Y,Y,N
1537,Clase Azul Reposado 750ml,850014275099,Tequila,169.99,N,N,Y,N,N,N
1547,Clear Eyes,678112254187,Retail,2.99,Y,N,N,N,Y,N
1648,Codigo Rosa 750ml,859061006113,Tequila,69.99,N,Y,N,N,Y,Y
1649,Codigo Rosa 750ml,859061006113,Tequila,69.99,Y,N,Y,Y,Y,N
1752,Corralejo Anejo 750ml,720815930339,Tequila,54.99,Y,N,N,N,Y,N
1753,Corralejo Anejo 750ml,720815930339,Tequila,54.99,N,Y,Y,Y,Y,Y
1756,Corralejo Reposado 750ml,720815930131,Tequila,36.99,Y,Y,N,Y,Y,Y
1757,Corralejo Reposado 750ml,720815930131,Tequila,36.99,N,N,Y,N,Y,N
1853,Dahlia Cristalino Reposado 750ml,863415000078,Tequila,38.99,N,Y,Y,Y,Y,Y
1854,Dahlia Cristalino Reposado 750ml,863415000078,Tequila,38.99,Y,N,N,N,Y,N
2095,Doc Swinson 15yr 750ml,850167007745,Whiskey Bourbon/American,169.99,Y,N,Y,Y,Y,N
2131,Dominoes Black,704551408161,Retail,7.99,N,Y,N,N,Y,Y
2133,Dominoes Mini Assorted Colors,4019571,Retail,2.49,Y,Y,Y,N,Y,Y
2134,Dominoes Mini Assorted Colors,4019571,Retail,2.49,Y,N,N,N,Y,Y
2155,Don Fulano Extra Anejo 750ml,7416388337516,Tequila,139.99,N,Y,N,N,Y,Y
2161,Don Julio Anejo 750ml,674545000063,Tequila,65.99,Y,N,N,N,Y,N
2162,Don Julio Anejo 750ml,674545000063,Tequila,65.99,N,Y,Y,Y,Y,Y
2163,Don Julio Blanco 175L,674545000629,Tequila,89.99,Y,N,N,N,Y,N
2165,Don Julio Blanco 375ml,674545000599,Tequila,27.99,Y,Y,N,Y,Y,Y
2166,Don Julio Blanco 375ml,674545000599,Tequila,27.99,N,N,Y,N,Y,N
2168,Don Julio Blanco 750ml,674545000001,Tequila,59.99,Y,N,N,N,Y,N
2169,Don Julio Blanco 750ml,674545000001,Tequila,59.99,N,Y,Y,Y,Y,Y
2171,Don Julio Reposado 375ml,674545000605,Tequila,29.99,N,N,Y,N,Y,N
2173,Don Julio Reposado 750ml,674545000414,Tequila,65.99,N,Y,N,N,Y,Y
2174,Don Julio Reposado 750ml,674545000414,Tequila,65.99,Y,N,Y,Y,Y,N
2255,Ducle Vida 375ml,89432002538,Tequila,15.99,N,N,Y,N,Y,N
2256,Ducle Vida 375ml,89432002538,Tequila,15.99,Y,N,N,N,Y,N
2257,Ducle Vida 375ml,89432002538,Tequila,15.99,N,Y,N,Y,Y,N
2269,Duplais Blanche Absinthe 750ml,7640105020447,Absinthe,84.99,Y,Y,N,Y,Y,Y
2270,Duplais Verte Absinthe 750ml,7640105020737,Absinthe,99.99,Y,N,Y,Y,Y,Y
2400,El Jimador Blanco 1L,744607068307,Tequila,26.99,Y,N,N,N,Y,N
2401,El Jimador Blanco 1L,744607068307,Tequila,26.99,N,Y,Y,Y,Y,Y
2403,El Jimador Blanco 375ml,744607068604,Tequila,9.99,N,Y,N,N,Y,Y
2404,El Jimador Blanco 375ml,744607068604,Tequila,9.99,Y,N,Y,Y,Y,N
2406,El Jimador Reposado 1L,744607069304,Tequila,26.99,N,Y,N,N,Y,Y
2407,El Jimador Reposado 1L,744607069304,Tequila,26.99,Y,N,Y,Y,Y,N
2409,El Jimador Reposado 375ml,744607069601,Tequila,9.99,N,N,Y,N,Y,N
2445,El Tequileno Reposado 750ml,7501398100332,Tequila,54.99,Y,Y,N,Y,Y,Y
2446,El Tequileno Reposado 750ml,7501398100332,Tequila,54.99,N,N,Y,N,Y,N
2448,El Tesoro Anejo 750ml,080686761402,Tequila,79.99,Y,Y,N,Y,Y,Y
2449,El Tesoro Anejo 750ml,080686761402,Tequila,79.99,N,N,Y,N,Y,N
2450,El Tesoro Blanco 375ml,080686760054,Tequila,25.99,Y,N,Y,Y,Y,N
2451,El Tesoro Blanco 375ml,80686760054,Tequila,25.99,Y,N,N,N,Y,N
2452,El Tesoro Blanco 375ml,080686760054,Tequila,25.99,N,Y,N,N,Y,Y
2453,El Tesoro Blanco 750ml,080686760405,Tequila,49.99,Y,Y,N,Y,Y,Y
2454,El Tesoro Blanco 750ml,080686760405,Tequila,49.99,N,N,Y,N,Y,N
2455,El Tesoro Extra Anejo 750ml,080686761044,Tequila,119.99,Y,N,Y,Y,Y,N
2456,El Tesoro Extra Anejo 750ml,080686761044,Tequila,119.99,N,Y,N,N,Y,Y
2457,El Tesoro Paradiso Extra Anejo 750ml,080686759461,Tequila,180.99,Y,N,N,N,Y,N
2458,El Tesoro Paradiso Extra Anejo 750ml,080686759461,Tequila,180.99,N,Y,Y,Y,Y,Y
2459,El Tesoro Reposado 750ml,080686762409,Tequila,59.99,Y,N,Y,Y,Y,N
2460,El Tesoro Reposado 750ml,080686762409,Tequila,59.99,N,Y,N,N,Y,Y
