Product,Customer,Count,Mean,Std,Min,Max,25,50,75,Action,ProductSKU,MinimumBeforeReorder,ReorderQuantity,Unit,RoundedMean,DiffMean,Diff75,MeanSavings,75Savings
123 Organic Blanco Tequila 750ml,Customer Square 1,3,0.057692307692307696,0.23316068563427197,0,1,0.0,0.0,0.0,Create/Update,7503013136207,0,1,47.99,0.0,0.0,0.0,0.0,0.0
123 Organic Blanco Tequila 750ml,Customer Square 2,7,0.15384615384615385,0.41065685584735806,0,2,0.0,0.0,0.0,Create/Update,7503013136207,1,3,47.99,0.0,1.0,1.0,47.99,47.99
123 Organic Blanco Tequila 750ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,7503013136207,0,1,47.99,0.0,0.0,0.0,0.0,0.0
123 Organic Reposado Tequila 750ml,Customer Square 1,3,0.057692307692307696,0.23316068563427197,0,1,0.0,0.0,0.0,Create/Update,7503013136214,0,1,56.99,0.0,0.0,0.0,0.0,0.0
123 Organic Reposado Tequila 750ml,Customer Square 2,4,0.07692307692307693,0.2664693550105965,0,1,0.0,0.0,0.0,Create/Update,7503013136214,1,3,56.99,0.0,1.0,1.0,56.99,56.99
123 Organic Reposado Tequila 750ml,Customer Square 3,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,7503013136214,0,1,56.99,0.0,0.0,0.0,0.0,0.0
17/24 Metodo Classico 750ml,Customer Square 1,12,0.23076923076923078,0.4213250442347432,0,1,0.0,0.0,0.0,Create/Update,805300030616,2,6,42.99,0.0,2.0,2.0,85.98,85.98
17/24 Metodo Classico 750ml,Customer Square 2,12,0.3076923076923077,0.6366517445094942,0,3,0.0,0.0,0.0,Create/Update,805300030616,2,6,42.99,0.0,2.0,2.0,85.98,85.98
17/24 Metodo Classico 750ml,Customer Square 3,7,0.15384615384615385,0.41065685584735806,0,2,0.0,0.0,0.0,Create/Update,805300030616,2,6,42.99,0.0,2.0,2.0,85.98,85.98
1792 12y 750ml,Customer Square 2,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,088004030711,2,1,59.99,0.0,2.0,2.0,119.98,119.98
1792 Bottled In Bond 750ml,Customer Square 1,13,0.36538461538461536,0.7345549713378569,0,3,0.0,0.0,0.25,Create/Update,088004027971,2,6,38.99,0.0,2.0,2.0,77.98,77.98
1792 Bottled In Bond 750ml,Customer Square 2,16,0.5961538461538461,1.0425489360330613,0,4,0.0,0.0,1.0,Create/Update,088004027971,2,6,38.99,1.0,1.0,1.0,38.99,38.99
1792 Bottled In Bond 750ml,Customer Square 3,17,0.40384615384615385,0.6281724219638876,0,2,0.0,0.0,1.0,Create/Update,088004027971,2,6,38.99,0.0,2.0,1.0,77.98,38.99
1792 Full Proof 750ml,Customer Square 1,12,0.28846153846153844,0.5662473793975177,0,2,0.0,0.0,0.0,Create/Update,080660001159,1,6,45.99,0.0,1.0,1.0,45.99,45.99
1792 Full Proof 750ml,Customer Square 2,17,0.4230769230769231,0.6605986168199103,0,2,0.0,0.0,1.0,Create/Update,080660001159,1,6,45.99,0.0,1.0,0.0,45.99,0.0
1792 Full Proof 750ml,Customer Square 3,11,0.25,0.5142208445046514,0,2,0.0,0.0,0.0,Create/Update,080660001159,1,6,45.99,0.0,1.0,1.0,45.99,45.99
1792 Single Barrel 750ml,Customer Square 1,7,0.19230769230769232,0.5560320113384984,0,3,0.0,0.0,0.0,Create/Update,080660001142,1,6,41.99,0.0,1.0,1.0,41.99,41.99
1792 Single Barrel 750ml,Customer Square 2,14,0.34615384615384615,0.6165853669954384,0,2,0.0,0.0,1.0,Create/Update,080660001142,1,6,41.99,0.0,1.0,0.0,41.99,0.0
1792 Single Barrel 750ml,Customer Square 3,10,0.2692307692307692,0.6237413361625713,0,3,0.0,0.0,0.0,Create/Update,080660001142,1,6,41.99,0.0,1.0,1.0,41.99,41.99
1792 Small Batch Bourbon 750ml,Customer Square 1,10,0.21153846153846154,0.4530468842072979,0,2,0.0,0.0,0.0,Create/Update,080660001203,2,6,0.0,0.0,2.0,2.0,0.0,0.0
1792 Small Batch Bourbon 750ml,Customer Square 2,21,0.5961538461538461,0.9252778249014929,0,5,0.0,0.0,1.0,Create/Update,080660001203,2,6,0.0,1.0,1.0,1.0,0.0,0.0
1792 Small Batch Bourbon 750ml,Customer Square 3,7,0.17307692307692307,0.4690888814480949,0,2,0.0,0.0,0.0,Create/Update,080660001203,2,6,0.0,0.0,2.0,2.0,0.0,0.0
1792 Sweet Wheat 750ml,Customer Square 2,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,080660001166,2,6,36.99,0.0,2.0,2.0,73.98,73.98
1800 Blanco 1L,Customer Square 1,11,0.3076923076923077,0.6944411571256842,0,3,0.0,0.0,0.0,Create/Update,811538010146,1,6,39.99,0.0,1.0,1.0,39.99,39.99
1800 Blanco 1L,Customer Square 2,23,0.5961538461538461,0.7405719043834501,0,2,0.0,0.0,1.0,Create/Update,811538010146,3,6,39.99,1.0,2.0,2.0,79.98,79.98
1800 Blanco 1L,Customer Square 3,12,0.25,0.47535411901185676,0,2,0.0,0.0,0.0,Create/Update,811538010146,1,6,39.99,0.0,1.0,1.0,39.99,39.99
1876 Straight Bourbon 750ml,Customer Square 2,4,0.09615384615384616,0.3540760122984994,0,2,0.0,0.0,0.0,Create/Update,040232625121,24,12,36.99,0.0,24.0,24.0,887.76,887.76
1876 Vodka 175L,Customer Square 1,19,0.6346153846153846,0.9204690725980247,0,3,0.0,0.0,1.0,Create/Update,850010806136,3,6,23.99,1.0,2.0,2.0,47.98,47.98
1876 Vodka 175L,Customer Square 2,14,0.28846153846153844,0.4936729866535936,0,2,0.0,0.0,1.0,Create/Update,850010806136,20,6,23.99,0.0,20.0,19.0,479.79999999999995,455.80999999999995
1876 Vodka 175L,Customer Square 3,25,0.6346153846153846,0.7345549713378569,0,2,0.0,0.0,1.0,Create/Update,850010806136,2,6,23.99,1.0,1.0,1.0,23.99,23.99
1876 Vodka 1L,Customer Square 1,25,0.6153846153846154,0.737820234355803,0,3,0.0,0.0,1.0,Create/Update,850010806143,4,12,18.99,1.0,3.0,3.0,56.97,56.97
1876 Vodka 1L,Customer Square 2,13,0.40384615384615385,0.7908032767289264,0,3,0.0,0.0,0.25,Create/Update,850010806143,4,12,18.99,0.0,4.0,4.0,75.96,75.96
1876 Vodka 1L,Customer Square 3,8,0.17307692307692307,0.4261253808876988,0,2,0.0,0.0,0.0,Create/Update,850010806143,3,12,18.99,0.0,3.0,3.0,56.97,56.97
1888 Dirtiest Martini Mix 1L,Customer Square 2,6,0.1346153846153846,0.3936440286626677,0,2,0.0,0.0,0.0,Create/Update,857438001525,12,8,15.99,0.0,12.0,12.0,191.88,191.88
21st Amendment Blood Orange Cans 6 Pack,Customer Square 1,20,0.5,0.7205766921228921,0,3,0.0,0.0,1.0,Create/Update,859612001314,2,4,10.79,0.0,2.0,1.0,21.58,10.79
21st Amendment Brew Free IPA Cans 6pk,Customer Square 1,18,0.5192307692307693,0.8658118603454177,0,4,0.0,0.0,1.0,Create/Update,859612001031,2,4,11.99,1.0,1.0,1.0,11.99,11.99
21st Amendment Seasonal Release Cans 6 Pack,Customer Square 1,13,0.3076923076923077,0.5730640163750516,0,2,0.0,0.0,0.25,Create/Update,859612001024,2,4,11.99,0.0,2.0,2.0,23.98,23.98
22 Pirates Red Blend 750ml,Customer Square 1,6,0.11538461538461539,0.3194855331891567,0,1,0.0,0.0,0.0,Create/Update,664228300047,2,12,24.99,0.0,2.0,2.0,49.98,49.98
22 Pirates Red Blend 750ml,Customer Square 3,11,0.25,0.5142208445046514,0,2,0.0,0.0,0.0,Create/Update,664228300047,2,12,24.99,0.0,2.0,2.0,49.98,49.98
400 Conejos Espadin 750ml,Customer Square 1,10,0.46153846153846156,1.1512791959304431,0,5,0.0,0.0,0.0,Create/Update,811538013628,4,12,28.99,0.0,4.0,4.0,115.96,115.96
400 Conejos Espadin 750ml,Customer Square 2,9,0.2692307692307692,0.7368170792564621,0,4,0.0,0.0,0.0,Create/Update,811538013628,2,6,28.99,0.0,2.0,2.0,57.98,57.98
42 Below 1L,Customer Square 1,5,0.09615384615384616,0.2948021099376133,0,1,0.0,0.0,0.0,Create/Update,080480284312,2,6,17.09,0.0,2.0,2.0,34.18,34.18
42 Below 1L,Customer Square 2,17,0.4230769230769231,0.6890951102757276,0,3,0.0,0.0,1.0,Create/Update,080480284312,2,6,17.09,0.0,2.0,1.0,34.18,17.09
512 Citra Summer 6pk Bottles,Customer Square 1,5,0.1346153846153846,0.4397921779242027,0,2,0.0,0.0,0.0,Create/Update,852674006389,3,6,9.99,0.0,3.0,3.0,29.97,29.97
