Product,Customer,Count,Mean,Std,Min,Max,25,50,75,Action,ProductSKU,MinimumBeforeReorder,ReorderQuantity,Unit,RoundedMean,DiffMean,Diff75,MeanSavings,75Savings
123 Organic Blanco Tequila 750ml,Customer Square 3,6,0.11538461538461539,0.3194855331891567,0,1,0.0,0.0,0.0,Create/Update,7503013136207,0,1,,0.0,0.0,0.0,,
123 Organic Reposado Tequila 750ml,Customer Square 3,6,0.11538461538461539,0.3194855331891567,0,1,0.0,0.0,0.0,Create/Update,7503013136214,0,1,,0.0,0.0,0.0,,
1792 Bottled In Bond 750ml,Customer Square 3,7,0.17307692307692307,0.4690888814480949,0,2,0.0,0.0,0.0,Create/Update,088004027971,2,6,61.88,0.0,2.0,2.0,123.76,123.76
1792 Full Proof 750ml,Customer Square 3,9,0.19230769230769232,0.44021242854844606,0,2,0.0,0.0,0.0,Create/Update,080660001159,1,6,8.7375,0.0,1.0,1.0,8.7375,8.7375
1792 Small Batch Bourbon 750ml,Customer Square 3,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0,Create/Update,080660001203,2,6,14.0,0.0,2.0,2.0,28.0,28.0
1800 Blanco 1L,Customer Square 3,2,0.23076923076923078,1.51423228346381,0,11,0.0,0.0,0.0,Create/Update,811538010146,1,6,,0.0,1.0,1.0,,
1876 Vodka 175L,Customer Square 3,2,0.19230769230769232,0.9813346786286977,0,6,0.0,0.0,0.0,Create/Update,850010806136,2,6,,0.0,2.0,2.0,,
1876 Vodka 1L,Customer Square 3,52,19.75,12.698992994600912,6,57,10.0,16.5,25.0,Create/Update,850010806143,3,12,,20.0,-17.0,-22.0,,
512 IPA 6pk Bottles,Customer Square 3,17,2.1538461538461537,3.7178602995675605,0,16,0.0,0.0,4.0,Create/Update,852674006068,3,4,,2.0,1.0,-1.0,,
Abasolo Corn Whisky 750ml,Customer Square 3,42,6.519230769230769,4.6760041480840675,0,18,2.75,6.5,10.0,Create/Update,7503027709077,1,6,,7.0,-6.0,-9.0,,
Aberfeldy 12y 750ml,Customer Square 3,34,2.0576923076923075,2.4838978482840357,0,13,0.0,1.0,4.0,Create/Update,080480220006,2,6,99.36,2.0,0.0,-2.0,0.0,-198.72
Aberfeldy 16y 750ml,Customer Square 3,3,0.057692307692307696,0.23316068563427197,0,1,0.0,0.0,0.0,Create/Update,080480006167,0,6,4.035909090909091,0.0,0.0,0.0,0.0,0.0
Aberlour 12y 750ml,Customer Square 3,4,0.07692307692307693,0.2664693550105965,0,1,0.0,0.0,0.0,Create/Update,080432102145,1,6,49.4,0.0,1.0,1.0,49.4,49.4
Aberlour Abunadh 750ml,Customer Square 3,1,0.038461538461538464,0.27467032417472503,0,2,0.0,0.0,0.0,Create/Update,080432516171,1,6,88.42,0.0,1.0,1.0,88.42,88.42
Absolut Elyx 750ml,Customer Square 3,1,0.07692307692307693,0.5493406483494501,0,4,0.0,0.0,0.0,Create/Update,835229000711,2,6,,0.0,2.0,2.0,,
Absolut Vodka 750ml,Customer Square 3,2,0.28846153846153844,1.9249029791888057,0,14,0.0,0.0,0.0,Create/Update,835229000308,2,12,,0.0,2.0,2.0,,
Admiral Rodney Formidable 750ml,Customer Square 3,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0,Create/Update,786992212248,0,1,,0.0,0.0,0.0,,
Admiral Rodney Princessa 750ml,Customer Square 3,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0,Create/Update,786992212101,0,1,,0.0,0.0,0.0,,
Admiral Rodney Royal Oak 750ml,Customer Square 3,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0,Create/Update,786992212170,0,1,,0.0,0.0,0.0,,
Akashi Eigashima Japanese Whisky 750ml,Customer Square 3,21,0.6153846153846154,0.9020030307352749,0,4,0.0,0.0,1.0,Create/Update,4969265778634,1,2,89.0,1.0,0.0,0.0,0.0,0.0
Akashi Single Malt 750ml,Customer Square 3,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0,Create/Update,4969265778597,1,1,91.5,0.0,1.0,1.0,91.5,91.5
Akashi Ume 750ml,Customer Square 3,10,0.19230769230769232,0.3941134909984461,0,1,0.0,0.0,0.0,Create/Update,4969265758834,1,2,31.25,0.0,1.0,1.0,31.25,31.25
Akkeshi Sarorunkamuy 200ml,Customer Square 3,4,0.5384615384615384,2.3325583384702013,0,12,0.0,0.0,0.0,Create/Update,4573479360167,1,1,879.96,1.0,0.0,1.0,0.0,879.96
Alessio Bianco 750ml,Customer Square 3,28,1.5192307692307692,1.896255263319957,0,9,0.0,1.0,2.0,Create/Update,087229200237,2,4,40.56,2.0,0.0,0.0,0.0,0.0
Alessio Chinato Vermouth 750ml,Customer Square 3,1,0.038461538461538464,0.27467032417472503,0,2,0.0,0.0,0.0,Create/Update,094922423146,1,4,67.98,0.0,1.0,1.0,67.98,67.98
