Product,Customer,Count,Mean,Std,Min,Max,25,50,75,Action,ProductSKU,MinimumBeforeReorder,ReorderQuantity
123 Organic Blanco Tequila 750ml,Customer Square 1,3,0.057692307692307696,0.23316068563427197,0,1,0.0,0.0,0.0,Create/Update,7503013136207,0,1
123 Organic Blanco Tequila 750ml,Customer Square 2,7,0.15384615384615385,0.41065685584735806,0,2,0.0,0.0,0.0,Create/Update,7503013136207,1,3
123 Organic Blanco Tequila 750ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,7503013136207,0,1
123 Organic Reposado Tequila 750ml,Customer Square 1,3,0.057692307692307696,0.23316068563427197,0,1,0.0,0.0,0.0,Create/Update,7503013136214,0,1
123 Organic Reposado Tequila 750ml,Customer Square 2,4,0.07692307692307693,0.2664693550105965,0,1,0.0,0.0,0.0,Create/Update,7503013136214,1,3
123 Organic Reposado Tequila 750ml,Customer Square 3,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,7503013136214,0,1
17/24 Metodo Classico 750ml,Customer Square 1,12,0.23076923076923078,0.4213250442347432,0,1,0.0,0.0,0.0,Create/Update,805300030616,2,6
17/24 Metodo Classico 750ml,Customer Square 2,12,0.3076923076923077,0.6366517445094942,0,3,0.0,0.0,0.0,Create/Update,805300030616,2,6
17/24 Metodo Classico 750ml,Customer Square 3,7,0.15384615384615385,0.41065685584735806,0,2,0.0,0.0,0.0,Create/Update,805300030616,2,6
1792 12y 750ml,Customer Square 2,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,88004030711,2,1
1792 Bottled In Bond 750ml,Customer Square 1,13,0.36538461538461536,0.7345549713378569,0,3,0.0,0.0,0.25,Create/Update,88004027971,2,6
1792 Bottled In Bond 750ml,Customer Square 2,16,0.5961538461538461,1.0425489360330613,0,4,0.0,0.0,1.0,Create/Update,88004027971,2,6
1792 Bottled In Bond 750ml,Customer Square 3,17,0.40384615384615385,0.6281724219638876,0,2,0.0,0.0,1.0,Create/Update,88004027971,2,6
1792 Full Proof 750ml,Customer Square 1,12,0.28846153846153844,0.5662473793975177,0,2,0.0,0.0,0.0,Create/Update,80660001159,1,6
1792 Full Proof 750ml,Customer Square 2,17,0.4230769230769231,0.6605986168199103,0,2,0.0,0.0,1.0,Create/Update,80660001159,1,6
1792 Full Proof 750ml,Customer Square 3,11,0.25,0.5142208445046514,0,2,0.0,0.0,0.0,Create/Update,80660001159,1,6
1792 Single Barrel 750ml,Customer Square 1,7,0.19230769230769232,0.5560320113384984,0,3,0.0,0.0,0.0,Create/Update,80660001142,1,6
1792 Single Barrel 750ml,Customer Square 2,14,0.34615384615384615,0.6165853669954384,0,2,0.0,0.0,1.0,Create/Update,80660001142,1,6
1792 Single Barrel 750ml,Customer Square 3,10,0.2692307692307692,0.6237413361625713,0,3,0.0,0.0,0.0,Create/Update,80660001142,1,6
1792 Small Batch Bourbon 750ml,Customer Square 1,10,0.21153846153846154,0.4530468842072979,0,2,0.0,0.0,0.0,Create/Update,80660001203,2,6
1792 Small Batch Bourbon 750ml,Customer Square 2,21,0.5961538461538461,0.9252778249014929,0,5,0.0,0.0,1.0,Create/Update,80660001203,2,6
