Product,Customer,Count,Mean,Std,Min,Max,25,50,75
1 Water 355ml,Customer Square 1,3,0.11538461538461539,0.576923076923077,0,4,0.0,0.0,0.0
1 Water 355ml,Customer Square 2,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0
1 Water 355ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0
123 Organic Anejo Tequila 750ml,Customer Square 1,3,0.057692307692307696,0.23316068563427197,0,1,0.0,0.0,0.0
123 Organic Anejo Tequila 750ml,Customer Square 2,5,0.11538461538461539,0.3748767055695755,0,2,0.0,0.0,0.0
123 Organic Anejo Tequila 750ml,Customer Square 3,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0
123 Organic Blanco Tequila 750ml,Customer Square 1,3,0.057692307692307696,0.23316068563427197,0,1,0.0,0.0,0.0
123 Organic Blanco Tequila 750ml,Customer Square 2,7,0.15384615384615385,0.41065685584735806,0,2,0.0,0.0,0.0
123 Organic Blanco Tequila 750ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0
123 Organic Reposado Tequila 750ml,Customer Square 1,3,0.057692307692307696,0.23316068563427197,0,1,0.0,0.0,0.0
123 Organic Reposado Tequila 750ml,Customer Square 2,4,0.07692307692307693,0.2664693550105965,0,1,0.0,0.0,0.0
123 Organic Reposado Tequila 750ml,Customer Square 3,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0
17/24 Metodo Classico 750ml,Customer Square 1,12,0.23076923076923078,0.4213250442347432,0,1,0.0,0.0,0.0
17/24 Metodo Classico 750ml,Customer Square 2,12,0.3076923076923077,0.6366517445094942,0,3,0.0,0.0,0.0
17/24 Metodo Classico 750ml,Customer Square 3,7,0.15384615384615385,0.41065685584735806,0,2,0.0,0.0,0.0
1792 12y 750ml,Customer Square 1,2,0.07692307692307693,0.3846153846153846,0,2,0.0,0.0,0.0
1792 12y 750ml,Customer Square 2,0,0.0,0.0,0,0,0.0,0.0,0.0
1792 12y 750ml,Customer Square 3,1,0.057692307692307696,0.4120054862620874,0,3,0.0,0.0,0.0
1792 Bottled In Bond 750ml,Customer Square 1,13,0.36538461538461536,0.7345549713378569,0,3,0.0,0.0,0.25
1792 Bottled In Bond 750ml,Customer Square 2,16,0.5961538461538461,1.0425489360330613,0,4,0.0,0.0,1.0
1792 Bottled In Bond 750ml,Customer Square 3,17,0.40384615384615385,0.6281724219638876,0,2,0.0,0.0,1.0
1792 Bottled In Bond Nickel City Barrel 750ml,Customer Square 1,2,0.09615384615384616,0.49066733931434886,0,3,0.0,0.0,0.0
