Category,ofSpace,ofSales,RatioSpace,ofIncome,RatioSales
Absinthe,0.004673937235699978,0.0009639592060667901,0.20624136727895653,0.0019016689125712187,0.40686659162773736
Amaro,0.02336968617849989,0.02691907357367366,1.1518799768239596,0.02605007173410746,1.1146949742985222
Aquavit,0.0013354106387714222,0.00022048003117485093,0.16510279667810088,0.00035388656418777314,0.2650020554826108
Bacanora,0.0004451368795904741,0.00010767629429469463,0.24189479513303147,0.00029891107243494136,0.6715037242250957
Bag,0.00222568439795237,0.002179163098821201,0.9790979803003655,0.0002690483128971349,0.12088340698468271
Baijiu,0.0006677053193857111,0.00015895072014931113,0.23805519521028495,0.00019696891132606355,0.2949937728626678
Bar Tools,0.0318272868907189,0.021355798368447768,0.6709902242617889,0.012900185662941077,0.4053184208642955
Bitters,0.038059203204985535,0.012675038071261198,0.33303477224664657,0.009144412429350282,0.2402680996787767
Books,0.009125306031604719,0.001302370416707259,0.1427207385918467,0.0016348169513248382,0.17915201371469508
Brandy,0.0120186957489428,0.027821503468714908,2.31485213120252,0.012732891320501616,1.0594237167224771
Bubbles,0.013354106387714223,0.02266842367032595,1.6974871258462416,0.02042106066923802,1.5291970931147736
Cachaca,0.00222568439795237,0.000307646555127699,0.13822559721887517,0.000497082974632622,0.2233393805024371
Calvados,0.0006677053193857111,0.00013844094980746454,0.20733839582831273,0.0003563068388918583,0.5336288757137064
Charanda,0.0006677053193857111,0.00014869583497838782,0.22269679551929883,0.0002018189893748011,0.30225757308699375
Cider,0.00979301135099043,0.010008767926821139,1.0220316885274403,0.005488475527302999,0.5604481941857357
Cognac,0.009347874471399956,0.018694655666593174,1.9998830454762648,0.027000429758364704,2.888403116769824
Craft Beer,0.04874248831515691,0.04675714893682478,0.9592688135760445,0.02542906640673742,0.521702261942791
Dom Beer,0.012463832628533273,0.0562070256218306,4.509610109265802,0.011640044387361641,0.9339057041502832
Fortified,0.030269307812152237,0.015864307359418343,0.5241053894549016,0.014360757128532636,0.4744329542536554
Garnish,0.014466948586690407,0.011603402570899712,0.8020628884777293,0.00403199661283508,0.2787040120225848
Gin,0.043623414199866456,0.028990560378200164,0.6645642233635375,0.03923038513676526,0.8992965327524812
Glassware,0.008012463832628533,0.007265586143599157,0.9067855150886392,0.004662361447402313,0.5818886106438499
