SKU,Product,Customer,Location,Status,CategoryDear,CategorySale,OnHand,Quantity,Sale,Unit
,Absinthe Brouilleur 3 Hole,Customer Square 3,Oak Hill,ACTIVE,,,3.0,,,
,Akashi Single Malt 750ml,Customer Square 3,Oak Hill,ACTIVE,,,4.0,,,
,Albert Boxler Gewurtztraminer 750ml,Customer Square 3,Oak Hill,ACTIVE,,,12.0,,,
,Alessio Chinato Vermouth 750ml,Customer Square 3,Oak Hill,ACTIVE,,,3.0,,,
,Alipus San Juan 750ml,Customer Square 3,Oak Hill,ACTIVE,,,5.0,,,
,Alipus Santa Ana Del Rio 750ml,Customer Square 3,Oak Hill,ACTIVE,,,3.0,,,
,Alta Alella Garnatxa Negra 750mL,Customer Square 3,Oak Hill,ACTIVE,,,12.0,,,
,Altstadt Amber Cans 6 Pack,Customer Square 3,Oak Hill,ACTIVE,,,4.0,,,
,Amaro Lucano 750ml,Customer Square 3,Oak Hill,ACTIVE,,,3.0,,,
,Ancient Age Kentucky Straight Bourbon 1L,Customer Square 3,Oak Hill,ACTIVE,,,3.0,,,
,Apologue Persimmon 375ml,Customer Square 3,Oak Hill,ACTIVE,,,4.0,,,
,Arak Razzouk Anise 750ml,Customer Square 3,Oak Hill,ACTIVE,,,3.0,,,
,Ardmore Legacy 750ml,Customer Square 3,Oak Hill,ACTIVE,,,6.0,,,
,Arrow Apple Smackers 1L,Customer Square 3,Oak Hill,ACTIVE,,,3.0,,,
,Art of the Flask,Customer Square 3,Oak Hill,ACTIVE,,,3.0,,,
,Art+Science Humble Perry 750ml,Customer Square 3,Oak Hill,ACTIVE,,,3.0,,,
,Averell Damson Gin Liqueur 750ml,Customer Square 3,Oak Hill,ACTIVE,,,3.0,,,
,Bacardi Anejo 4 Year 750ml,Customer Square 3,Oak Hill,ACTIVE,,,3.0,,,
,Balcones Brimstone 750ml,Customer Square 3,Oak Hill,ACTIVE,,,3.0,,,
,Banks 7 Golden Rum 750ml,Customer Square 3,Oak Hill,ACTIVE,,,4.0,,,
,Barbadillo Amontillado Dry Sherry 750ml,Customer Square 3,Oak Hill,ACTIVE,,,11.0,,,
,Barbadillo Manzanilla Sherry 750mL,Customer Square 3,Oak Hill,ACTIVE,,,6.0,,,
,Barr Hill Gin 750ml,Customer Square 3,Oak Hill,ACTIVE,,,4.0,,,
,Barrell Bourbon 29 750ml,Customer Square 3,Oak Hill,ACTIVE,,,3.0,,,
,Barrell Bourbon 31 750ml,Customer Square 3,Oak Hill,ACTIVE,,,3.0,,,
,Barrell Bourbon 32 750ml,Customer Square 3,Oak Hill,ACTIVE,,,6.0,,,
,Barrell Bourbon 33 750mL,Customer Square 3,Oak Hill,ACTIVE,,,5.0,,,
,Barrell Vantage 750ml,Customer Square 3,Oak Hill,ACTIVE,,,6.0,,,
,Barrell Whiskey Infinite Project 750ml,Customer Square 3,Oak Hill,ACTIVE,,,3.0,,,
,Basil Hayden 10y 750ml,Customer Square 3,Oak Hill,ACTIVE,,,6.0,,,
,Belle Meade Bourbon 750ml,Customer Square 3,Oak Hill,ACTIVE,,,3.0,,,
,Berto Aperitiv Tradission 1L,Customer Square 3,Oak Hill,ACTIVE,,,5.0,,,
,Bigallet Thym Liqueur 750ml,Customer Square 3,Oak Hill,ACTIVE,,,3.0,,,
,Birichino Scylla Red Blend 750ml,Customer Square 3,Oak Hill,ACTIVE,,,3.0,,,
,Bitter Queens Caribbean Spice Bitters 5oz,Customer Square 3,Oak Hill,ACTIVE,,,4.0,,,
,Bitter Queens Sample Pack,Customer Square 3,Oak Hill,ACTIVE,,,4.0,,,
,Bitter Queens Thai Spice Bitters 5oz,Customer Square 3,Oak Hill,ACTIVE,,,3.0,,,
,Bitter Truth Aromatic Bitters 200ml,Customer Square 3,Oak Hill,ACTIVE,,,3.0,,,
,Bitter Truth Blossom Bitters 100ml,Customer Square 3,Oak Hill,ACTIVE,,,3.0,,,
,Bitter Truth Celery Bitters 200ml,Customer Square 3,Oak Hill,ACTIVE,,,4.0,,,
,Bitter Truth Creole Bitters 200ml,Customer Square 3,Oak Hill,ACTIVE,,,3.0,,,
