Action,ProductSKU,ProductName,Location,MinimumBeforeReorder,ReorderQuantity,StockLocator,PickZones
Create/Update,085000017739,La Marca Prosecco 750ml,Oak Hill,24,12,,
Create/Update,080432108321,Redbreast 21y 750ml,Oak Hill,0,3,,
Create/Update,1234500000141,Lucio Leather Apron w/ Lining,Oak Hill,0,2,,
Create/Update,812066020355,Macallan 18y 750ml,Oak Hill,0,12,,
Create/Update,123621,Viski Leopold Jigger Black,Oak Hill,2,12,,
Create/Update,123622,Viski Leopold Jigger Copper,Oak Hill,2,12,,
Create/Update,856847004035,Mezcal Vago Ensamble En Barro 750ml,Oak Hill,1,6,,
Create/Update,01072599003,Bushido Series Meiyo 17y 750ml,Oak Hill,0,1,,
Create/Update,812066023066,Macallan 15y Double Cask 750ml,Oak Hill,0,12,,
Create/Update,027724387507,St George Baller Single Malt 750ml,Oak Hill,1,6,,
Create/Update,123518,Austin Shaker Corkscrew,Oak Hill,1,100,,
Create/Update,4976881521384,Iwai Tradition Umeshu Cask 750ml,Oak Hill,0,2,,
Create/Update,812066020690,Macallan 15y Triple Cask 750ml,Oak Hill,0,12,,
Create/Update,123620,Viski Japanese Jigger 1-2 oz Stainless,Oak Hill,0,24,,
Create/Update,088076185500,Don Julio 1942 Primavera 750ml,Oak Hill,0,6,,
Create/Update,7503018079202,G4 Extra Anejo 750ml,Oak Hill,0,2,,
Create/Update,123630,Viski Teardrop Barspoon 40cm Gold,Oak Hill,0,12,,
Create/Update,4003322257783,Spiegelau Mixing Beaker,Oak Hill,0,6,,
Create/Update,040232028762,Tears Of Llorona Extra Anejo 1L,Oak Hill,1,6,,
Create/Update,124111,Spiegelau 8.3oz Coupe Glass,Oak Hill,2,12,,
Create/Update,083664858415,Balvenie 21y Portwood 750ml,Oak Hill,0,3,,
Create/Update,1234500000005,Absinthe Fountain 6 Spout Lady,Oak Hill,0,2,,
Create/Update,13061306,Absinthe Fountain 6 Spout Rooster,Oak Hill,0,2,,
Create/Update,088110070052,Johnnie Walker Blue 750ml,Oak Hill,0,6,,
Create/Update,799599687865,La Venenosa Raicilla Tutsi 750ml,Oak Hill,0,1,,
Create/Update,088076182882,Mortlach 20y 750ml,Oak Hill,0,12,,
