Product,AP,PV,OH,Category,Total
Better Half Sauvignon Blanc 750ml,134.0,187.0,34.0,White,355.0
Wycliff Brut 750ml,57.0,165.0,0.0,Bubbles,222.0
El Jefe Tempranillo 1L,63.0,49.0,19.0,Red Old World,131.0
Ant Moore Sauvignon Blanc Estate 750mL,31.0,42.0,40.0,White,113.0
Alias Cabernet Sauvignon 750ml,20.0,79.0,0.0,Red New World,99.0
Lunaria Ramoro Pinot Grigio Terre di Chieti 750mL,45.0,45.0,7.0,Orange Wine,97.0
Cinzano Prosecco 750ml,24.0,64.0,0.0,Bubbles,88.0
Carro Tinto 750ml,8.0,13.0,62.0,Red Old World,83.0
Lunaria Pinot Grigio Pet Nat 750ml,57.0,24.0,0.0,Bubbles,81.0
Gulp Hablo Verdejo 1L,53.0,26.0,0.0,White,79.0
Domus Picta Treviso Prosecco 750ml,28.0,21.0,29.0,Bubbles,78.0
Glinavos Paleokerisio Orange Wine 500ml,32.0,34.0,5.0,Orange Wine,71.0
Naveran Brut Vintage 750ml,19.0,45.0,7.0,Bubbles,71.0
Chasing Lions Cabernet Sauvignon 750ml,35.0,34.0,0.0,Red New World,69.0
Field Recordings Dry Hopped Pet Nat 750ml,50.0,19.0,0.0,Bubbles,69.0
Lunaria Coste di Moro Montepulciano 750ml,55.0,10.0,2.0,Red Old World,67.0
Marietta Old Vine Red 750ml,11.0,54.0,1.0,Red New World,66.0
Naveran Brut Rosado 750ml,29.0,36.0,1.0,Bubbles,66.0
Hubert Meyer Cremant Brut 750ml,23.0,36.0,5.0,Bubbles,64.0
Les Lunes Texian Red Blend 750ml,43.0,21.0,0.0,Red New World,64.0
Notterosa Sparkling Rose 750ml,21.0,32.0,10.0,Bubbles,63.0
Grrrr Gruner Veltliner 1L,35.0,24.0,2.0,White,61.0
Foxglove Cabernet Sauvignon 750ml,20.0,26.0,13.0,Red New World,59.0
Gulp Hablo Garnacha 1L,38.0,20.0,0.0,Red Old World,58.0
Cuvee 23 Cava 750mL,33.0,21.0,4.0,Bubbles,58.0
Lan Rioja Crianza 750ml,13.0,44.0,1.0,Red Old World,58.0
Crazy Creatures 750mL,25.0,31.0,1.0,White,57.0
Mirth Chardonnay 750ml,23.0,27.0,6.0,White,56.0
Field Recordings Pet Nat Rose 750ml,37.0,15.0,2.0,Bubbles,54.0
Commuter Cuvee Pinot Noir 750ml,21.0,20.0,11.0,Red New World,52.0
Super Real Orange Unfiltered 750ml,32.0,18.0,0.0,Orange Wine,50.0
Torre Oria Cava Brut 750ml,26.0,17.0,7.0,Bubbles,50.0
Field Recordings Neverland 2017 750ml,12.0,29.0,8.0,Red New World,49.0
Jolie Folle Sauvignon Blanc 1L,22.0,20.0,6.0,White,48.0
Les Lunes Texian 2.0 Red Blend 750ml,27.0,20.0,0.0,Red New World,47.0
La Madrid Malbec 750ml,28.0,16.0,3.0,Red New World,47.0
No Curfew Pinot Noir 750ml,20.0,20.0,5.0,Red New World,45.0
Olema Chardonnay 750ml,26.0,4.0,15.0,White,45.0
Mumm Napa Brut Prestige 750ml,25.0,18.0,2.0,Bubbles,45.0
Lapis Luna Red Blend 750ml,17.0,16.0,12.0,Red New World,45.0
Carpene Malvolti Prosecco 187ml,13.0,17.0,15.0,Bubbles,45.0
Tolosa Chardonnay 750ml,12.0,16.0,16.0,White,44.0
Louis Perdrier Brut Excellence 750ml,17.0,27.0,0.0,Bubbles,44.0
Field Recordings Pets 750ml,24.0,17.0,2.0,Red New World,43.0
Saint Cyr Pet Nat Rose 750ml,12.0,30.0,1.0,Bubbles,43.0
Hubert Meyer Cremant Rose 750ml,23.0,12.0,7.0,Bubbles,42.0
Chandon Garden Spritz 187ml,9.0,19.0,13.0,Bubbles,41.0
Field Recordings PPP Sparkling Red 750ml,10.0,31.0,0.0,Red New World,41.0
Hedges CMS Red Blend 750ml,11.0,25.0,4.0,Red New World,40.0
Field Recordings Skins 750ml,23.0,10.0,6.0,Orange Wine,39.0
Winc Cherries and Rainbows 750ml,12.0,27.0,0.0,Red Old World,39.0
Saint Cosme Cotes du Rhone 750ml,8.0,19.0,11.0,Red Old World,38.0
Field Recordings Chenin 750ml,18.0,7.0,12.0,White,37.0
Left Coast Cellars White Pinot Noir 750ml,20.0,15.0,2.0,White,37.0
Dom de l'ecu Classic Muscadet 750ml,6.0,13.0,18.0,White,37.0
Gravel Bar Cabernet Sauvignon 750ml,29.0,5.0,3.0,Red New World,37.0
La Piuma Pecorino 750ml,25.0,10.0,1.0,White,36.0
Field Recordings Freddo 750ml,5.0,24.0,7.0,Red New World,36.0
Medivol Cremant De Limoux 750ml,15.0,20.0,1.0,Bubbles,36.0
Chanteleuserie Bourgueil Cab Franc 750ml,11.0,21.0,4.0,Red Old World,36.0
Flaco Tempranillo 750ml,12.0,19.0,5.0,Red Old World,36.0
Torero Cabernet Sauvignon 750ml,19.0,14.0,2.0,Red Old World,35.0
Paul Cluver Sauvignon Blanc 750ml,16.0,10.0,8.0,White,34.0
Lapis Luna Zinfandel  750ml,16.0,8.0,10.0,Red New World,34.0
Poggio Anima Samael Montepulciano 750ml,18.0,10.0,6.0,Red Old World,34.0
Il Vescovado Chianti 750ml,14.0,10.0,9.0,Red Old World,33.0
Teutonic Candied Mushroom Riesling 750ml,14.0,17.0,2.0,White,33.0
Jigsaw Pinot Noir 750ml,11.0,18.0,3.0,Red New World,32.0
Lardy Beaujolais Blanc 750ml,27.0,3.0,2.0,White,32.0
Bikicki Pinotte Pinot Noir 750ml,17.0,13.0,2.0,Red Old World,32.0
